userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
281763073,1783,275,174734,647,483,1286,1916,207683,F
432283267,3,46,216,647,9748,964,1435,207599,T
684557514,1089,155,25047,647,433,321,1045,208286,T
989428551,1905,213,89535,647,468,1286,826,208225,F
390715827,935,82,50490,647,434,643,1345,207481,T
010884926,132,1,5280,647,17059,321,1616,208072,F
892974721,839,112,34399,647,1088,321,2274,208266,T
515495527,1930,216,96500,647,2380,1608,1503,208363,F
660084720,371,17,23002,647,544,1608,1086,208414,T
453926406,761,82,28918,647,448,1608,1832,207502,F
070357446,688,104,19952,647,583,321,1107,208227,T
662885837,815,136,46455,647,13647,1608,780,208421,F
404064711,1868,241,93400,647,547,964,1507,207718,T
308988977,1886,267,103730,647,845,1608,1241,207489,F
516493329,874,122,24472,647,2110,321,1648,207886,T
383098861,1923,219,134610,647,988,1286,1048,208427,F
985666900,848,114,51728,647,1811,643,1688,207810,T
438979155,822,92,81378,647,739,1608,1068,207601,F
091742877,7,26,161,647,13647,643,1408,208116,T
598405115,887,74,67412,647,2883,1608,1540,207679,F
711738838,815,78,61940,647,698,964,2198,207471,T
565022753,121,1,2783,647,703,643,1423,208245,F
467612447,20,55,1840,647,998,1608,1446,208063,T
201958381,1787,259,107220,647,596,1286,1325,207815,F
694901634,1844,216,158584,647,478,1286,1318,207525,F
076881781,2040,233,128520,647,6203,321,1553,208000,T
427893559,851,74,63825,647,682,321,1264,208200,T
270204502,1788,264,114432,647,666,1286,1573,207502,F
584163126,502,19,11044,647,645,1608,1996,207698,T
947962564,6,1,528,647,445,643,1288,207880,F
656127179,457,68,29705,647,544,1286,2157,207884,T
516818260,1874,238,176156,647,660,1608,1355,207914,F
050377500,355,107,19880,647,442,643,871,208165,T
287171734,815,111,42380,647,487,1608,1096,208191,F
241171877,219,1,7446,647,1599,1286,1167,208209,F
396554305,884,67,38012,647,589,964,1101,207689,T
339249017,1857,247,105849,647,1539,643,1046,208092,T
077657610,17,1,1632,647,505,1286,1317,208404,F
145219545,860,95,23220,647,1677,1286,1615,207668,T
049797360,954,98,52470,647,513,1608,1193,208053,F
297327784,466,70,30290,647,3862,1286,1707,207798,T
133367842,846,88,55836,647,713,1608,1201,208431,F
059320642,1211,147,50862,647,22745,1286,1861,207788,T
258462421,747,84,19422,647,689,1608,1192,208241,F
416890159,173,1,16954,647,8529,643,1453,207478,F
680246376,763,112,71722,647,2380,1286,1875,207981,T
794839689,1852,281,42596,647,2352,964,986,208112,T
786918146,1920,247,51840,647,13647,1608,1656,208351,F
634748936,77,53,2156,647,25588,643,1405,208316,T
032220235,1823,228,138548,647,1811,1608,996,207696,F
560075821,832,75,67392,647,1118,1608,1690,208051,F
187213421,439,50,15804,647,775,964,1970,208373,T
586461809,22,20,1782,647,1705,643,1327,208246,T
004463305,115,1,10580,647,677,643,1541,207638,F
489945269,327,113,14715,647,4652,964,702,207952,T
800976385,1882,259,58342,647,417,1608,1357,207455,F
794327939,1188,147,49896,647,3411,1608,672,208099,T
559354511,1877,266,43171,647,1637,1286,1963,208146,F
609701799,436,82,24416,647,488,643,1456,207470,T
477736625,855,76,17955,647,473,1608,1887,207773,F
959604415,1872,255,73008,647,414,643,989,208077,T
725002323,831,102,39057,647,1550,1608,1908,207891,F
047527401,801,80,60876,647,1055,643,1739,207443,T
873383812,1913,239,124345,647,686,1608,973,207575,F
964795500,1927,214,88642,647,649,1608,858,207520,F
072967529,698,103,36994,647,2026,643,1266,207775,T
237637181,1893,213,92757,647,485,964,2150,207516,T
417040891,192,1,8448,647,8900,964,1810,207719,F
460622656,1919,220,74841,647,436,1286,813,208433,F
596614203,320,51,17600,647,705,1608,1163,207589,T
500962888,1996,248,153692,647,1303,1608,1506,207714,F
351346631,689,124,42029,647,6203,321,2033,207666,T
515443549,429,83,22737,647,3936,321,1116,208409,T
711081484,452,20,14012,647,423,964,1537,207695,F
693472774,154,1,7700,647,420,643,946,207975,F
754925279,260,41,17160,647,523,1286,1491,207779,T
492705886,1926,215,107856,647,2729,643,906,207714,T
811428340,7,1,175,647,835,1286,1272,207623,F
370337619,1442,243,59122,647,703,643,1687,208054,T
067668400,848,72,22048,647,815,1608,1385,208095,F
295254874,18,58,414,647,466,643,966,207907,T
955510613,1786,212,62510,647,1878,1286,917,208240,F
102281292,1764,226,137592,647,540,643,1280,208093,T
662239948,791,100,70399,647,784,1608,957,208177,F
230078383,510,61,36720,647,1176,1608,1637,208191,T
033223738,2023,245,103173,647,766,1608,1518,208075,F
909838676,814,128,63492,647,901,964,1420,207577,T
385151768,149,1,5215,647,433,964,1800,208382,F
824060179,410,67,9020,647,2380,964,1118,208383,T
179197938,2026,264,103326,647,618,1608,1929,208070,F
617567170,807,86,49227,647,514,1608,1088,208297,F
413026538,721,129,48307,647,943,964,1378,208067,T
556080158,1798,257,59334,647,474,321,1521,208152,T
235429677,1950,225,118950,647,934,1608,1869,207657,F
524105067,1837,237,174515,647,466,1286,927,207897,F
010200243,83,55,2324,647,567,1608,1594,207789,T
237923423,1985,220,178650,647,445,1286,816,208155,F
835677851,18,41,846,647,440,321,1093,207495,T
615580849,461,69,24433,647,778,1286,1406,207838,T
830620901,120,1,9960,647,1411,643,1699,207583,F
