userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
091275049,2068,275,349492,532,3784,977,2184,259897,T
445904044,766,105,53620,532,4712,2444,3749,259548,T
109157615,1239,197,109032,532,3243,1466,3978,259583,T
990342991,1111,124,65549,532,4094,977,3370,260441,T
923833427,158,19,34128,532,9606,2444,2604,259762,T
625501975,380,16,82840,532,3202,1955,2774,260068,T
363455198,1554,156,358974,532,3619,488,4023,260416,T
658966037,1350,196,252450,532,7346,1466,4752,260010,T
424590012,1407,116,175875,532,16651,1466,3177,260517,T
801703352,1451,168,333730,532,24977,2444,4162,260284,T
851562087,854,140,22204,532,3469,1466,4182,260069,T
514682736,2006,270,385152,532,5203,1466,3031,260092,T
662386155,1372,123,119364,532,4028,977,3400,259797,T
650543622,190,64,31730,532,13876,977,4220,259890,T
360121684,1867,239,175498,532,3202,1955,4856,259674,T
760859822,1813,250,411551,532,27752,488,4735,260343,T
554807991,1901,266,433428,532,5097,977,3024,260544,T
878924864,160,36,36000,532,13146,488,3293,260398,T
233635894,1134,165,221130,532,13146,488,2891,259981,T
208451173,2010,230,500490,532,2775,488,4535,260154,T
209965604,2019,273,278622,532,2775,977,2891,260001,T
287502186,1128,144,124080,532,5550,488,4373,259692,T
468136424,694,156,15268,532,3568,488,2348,260193,T
844464844,142,47,5112,532,6092,977,1942,260101,T
513415202,1273,178,311885,532,3083,1955,4352,260290,T
843474074,286,57,38324,532,3083,1466,2538,260539,T
100913557,1334,137,72036,532,8325,1955,2497,259633,F
896527181,1947,220,153813,532,3619,2444,4251,259735,T
016697607,780,109,42120,532,2904,977,3334,259657,T
510163077,282,33,51888,532,3046,977,3704,259827,T
354892904,1068,121,257388,532,2938,1955,3205,259678,T
753244520,1177,198,282480,532,3046,977,3921,260225,T
627614893,1339,144,131222,532,4803,1955,2001,259892,F
251033275,1304,166,40424,532,2838,977,2232,259660,T
757086643,1847,285,40634,532,6573,977,3674,260297,T
634568750,192,53,33024,532,31222,2444,4786,260300,T
857861333,1525,159,143350,532,3517,1955,2994,259583,F
920139699,1372,118,108388,532,9991,1466,2125,260364,T
320580021,1073,178,265031,532,6938,488,2123,260223,T
289293006,1307,159,254865,532,4625,977,4299,259753,T
648981652,247,29,61503,532,2522,488,4192,260347,T
042845284,1377,142,179010,532,3842,1466,4026,259990,T
861388979,427,34,35014,532,8920,2444,4378,259898,T
410608674,157,78,15229,532,5947,488,2114,260190,T
141906769,431,31,28877,532,6404,488,3462,259919,T
477805945,1461,119,112497,532,14692,488,2070,259787,T
632661475,263,47,11572,532,2685,1955,3890,259956,T
407330471,305,41,34465,532,5203,1955,2002,260206,T
353392972,304,50,21280,532,7568,488,4660,260273,T
198605204,1823,225,453927,532,7805,488,3669,259754,T
932871434,1054,126,254014,532,4803,977,2226,260115,T
326075036,974,122,234734,532,3330,1466,3601,260015,T
907293739,2079,284,424116,532,2548,2444,2306,260493,T
721614502,1163,203,87225,532,6750,488,4421,259973,T
589516547,1997,286,225661,532,5550,1466,4077,260108,T
616322469,1102,137,42978,532,5203,488,3916,260412,T
418484727,1101,176,110100,532,4803,977,3181,260257,T
339722966,1272,162,124656,532,2548,488,3763,260485,T
307898336,347,33,33312,532,4460,488,3598,260490,T
745759148,1800,244,216000,532,3122,1955,2883,260133,T
312730235,397,64,63917,532,9991,488,3825,260546,T
671040549,1299,204,318255,532,8612,1955,2131,260411,T
344586401,301,43,73745,532,24977,1466,2943,259611,T
669789092,1185,176,203820,532,2601,977,3998,260220,T
907139745,415,48,49800,532,2497,977,3158,260019,T
074858146,233,67,15145,532,4803,488,2304,259660,T
743472088,921,106,20262,532,3243,2444,2147,260536,T
132707054,1290,114,201240,532,2601,2444,2005,259637,F
911830947,431,26,14654,532,4460,1466,4005,259631,T
346809605,344,47,81872,532,2973,1466,2571,260096,T
473132498,1507,169,191389,532,2744,1466,3454,260417,T
855160413,1984,219,222208,532,4460,1466,1980,260141,T
220277981,2004,252,104208,532,5429,2444,2437,260060,T
319508028,1245,156,266430,532,7568,2444,2730,259704,F
377965788,1060,129,28620,532,27752,488,2306,259685,T
309225126,1942,246,79622,532,8057,1955,2466,259866,T
753757189,2029,275,154204,532,8612,977,4901,260068,T
466304453,2024,227,244904,532,3469,1955,2995,260367,T
357914170,1951,268,251679,532,8920,1466,4007,260342,T
826541783,1077,144,178782,532,3122,1955,1917,259823,T
202950340,1211,170,128366,532,3046,1466,3824,259887,T
588137440,1891,234,35929,532,3517,1955,3263,259762,T
739583866,1286,176,117026,532,4306,1955,4627,259914,F
617881024,241,26,10845,532,5676,2444,2361,260442,T
091724779,1135,211,24970,532,3046,977,2922,260309,T
755605125,237,15,39105,532,3619,2444,3972,260136,T
806818881,1858,243,180226,532,5097,977,3289,259660,T
427722580,1103,161,125742,532,4625,1955,2074,260175,T
