userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
041309312,1877,226,176438,532,555,977,2937,260344,T
005233211,1542,182,75558,532,2270,1955,4606,259652,F
889670004,722,136,49096,532,3330,2444,3919,260176,T
045428561,1215,211,105705,532,1081,2444,2517,259857,F
649822416,1993,229,83706,532,849,1466,4605,260537,T
491772536,1470,121,76440,532,553,1955,4514,259653,F
673568120,1917,226,147609,532,1274,1955,3064,260054,T
628711852,1095,143,76650,532,507,2444,4737,260086,F
268922897,331,53,6620,532,6244,977,2842,260023,T
780624902,1140,133,29640,532,1007,2444,4050,259864,F
336952484,1357,115,105846,532,1261,488,4192,259918,T
384265276,1378,173,137800,532,1032,2444,4438,259643,F
831089914,327,18,7521,532,1255,2444,3013,260091,T
454748354,1510,170,117780,532,2870,2444,4820,259779,F
793606437,1253,120,90216,532,1019,1466,4254,260418,T
703894929,1363,124,46342,532,2210,2444,2473,259913,F
143529460,1495,147,85215,532,898,488,2953,260295,T
611773921,1386,182,126126,532,1003,1955,2934,260478,F
759902023,2077,270,182776,532,8325,2444,4819,259582,T
507521932,1359,163,123669,532,600,1955,3975,259622,F
397807602,232,77,21808,532,795,2444,4049,260107,T
546156186,1313,128,81406,532,9991,1955,4388,260415,F
593524423,1133,186,29458,532,536,977,4816,260357,T
819446590,1128,114,103776,532,1580,2444,3929,259564,F
018772313,2019,279,90855,532,612,977,4589,259898,T
258069500,1450,133,50750,532,9606,2444,3338,260446,F
069435688,1361,144,50357,532,995,977,3632,259743,T
463856269,1168,174,56064,532,594,2444,3845,260123,F
211227158,1508,134,110084,532,1183,1466,4195,260486,T
235675173,1204,191,96320,532,2014,2444,2057,260068,F
792758600,820,104,18040,532,1195,488,3136,260138,T
662801924,1454,139,62522,532,1864,2444,4869,259860,F
185350225,1272,122,77592,532,632,977,3189,259949,T
261316876,1316,166,78960,532,761,2444,3011,260285,F
793261699,716,99,66588,532,761,977,3329,260499,T
077399401,1160,148,73080,532,1049,2444,3355,259739,F
401325869,1532,170,128688,532,747,1955,3910,259664,F
822403709,1852,268,172236,532,2153,488,2284,260187,T
711135918,1272,127,94128,532,632,977,2965,260029,T
914681678,1475,150,92925,532,589,2444,2256,259812,F
349278729,675,148,37800,532,1734,2444,2256,260555,T
278980800,1088,201,55488,532,928,2444,4471,259909,F
437104942,1373,124,81007,532,521,488,3906,260101,T
825756129,1441,172,83578,532,1643,2444,4367,260408,F
086830063,236,36,15576,532,1267,488,4685,259706,T
479926873,1210,197,107690,532,558,2444,2142,260341,F
536861751,1911,240,185367,532,1411,488,4227,259634,T
882275536,1508,114,82940,532,544,1955,3462,260022,F
492521647,1133,173,32857,532,1125,488,4188,260072,T
532541920,1390,170,98690,532,676,1955,3661,259678,F
922363118,909,148,26361,532,589,1466,3081,260206,T
995183965,1220,169,109800,532,4897,2444,3731,260416,F
797066105,850,134,39100,532,782,488,4224,260141,T
150085240,1506,158,87348,532,1892,2444,4233,260503,F
312947096,1256,171,86664,532,510,488,3214,259718,T
492330062,1382,150,114706,532,956,2444,4313,259676,F
374278717,1377,122,70227,532,1372,2444,2065,260468,F
305922835,2029,249,121740,532,693,1466,2178,260188,T
876604965,335,43,20435,532,785,1955,4683,259975,T
244988577,1480,167,115440,532,843,1955,2789,260216,F
896652887,214,46,19260,532,1027,2444,2419,259960,T
699502613,1129,118,111771,532,680,2444,2414,260508,F
948792878,1429,139,95743,532,586,1955,2716,259945,F
624573526,722,121,20938,532,4712,977,4256,260454,T
560660041,2010,224,150750,532,898,1955,2804,260385,T
669044694,1351,170,77007,532,3728,2444,3786,259909,F
409225462,1837,267,163493,532,638,1955,3677,260543,T
616466997,1378,122,84058,532,1823,2444,3809,260138,F
165606828,1505,168,142975,532,20814,1466,3462,260518,T
954325918,1354,161,62284,532,601,2444,2329,260545,F
433362315,1366,148,69666,532,664,488,2976,259947,T
199276266,1030,125,88580,532,27752,2444,2990,259846,F
733426488,1860,261,135780,532,19213,2444,3086,260398,T
354754637,1541,149,50853,532,849,1955,2019,259920,F
315407518,1048,125,93272,532,1085,2444,4534,260499,F
422272650,1959,286,107745,532,1287,1955,2791,260314,T
660696290,291,74,28809,532,2548,1466,4717,260130,T
697420441,1282,169,112816,532,1105,2444,1929,260078,F
785207070,1922,255,96100,532,935,488,2963,260450,T
638540800,1447,161,36175,532,3046,1955,2139,259623,F
103745351,154,65,3388,532,609,488,2839,260170,T
527768167,1485,122,72765,532,1580,2444,2553,260466,F
479076111,1208,196,55568,532,1998,1955,4836,259710,T
161366440,1488,135,147312,532,513,1955,3722,260109,F
825478324,1052,131,42080,532,518,2444,3213,260196,F
351899826,677,101,36558,532,2191,488,2661,260082,T
999908139,1308,137,62784,532,867,1466,4814,259796,T
310719910,1412,120,93192,532,643,2444,4407,259693,F
011158141,1321,142,125495,532,1590,977,2996,260351,T
827580490,1401,174,68649,532,832,2444,4085,260318,F
782057096,1180,200,55460,532,849,977,2416,259849,T
315035245,1200,170,91200,532,9250,2444,4205,260215,F
608580264,168,72,14952,532,584,1955,4085,260551,T
450284746,1251,143,55044,532,507,1955,4399,260543,F
982866534,772,96,52496,532,1200,1466,3777,260307,T
945128821,1335,160,116145,532,500,2444,3968,260085,F
641394250,788,120,76436,532,642,1955,4648,260175,T
195105240,1326,124,99450,532,1261,1955,4526,260512,F
155039729,1518,183,116886,532,1195,488,3941,260193,T
983476907,1092,163,107016,532,570,2444,3827,259711,F
