userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
600117578,666,113,15984,502,608,2424,6769,243989,F
457309767,685,101,14385,502,1474,969,7880,243691,T
810487065,862,79,18964,502,4315,2424,6754,243816,F
643340972,308,71,23100,502,1131,484,5885,243495,T
530016383,462,23,20790,502,2262,969,7927,244106,T
055466910,793,103,44408,502,798,2424,8616,243843,F
318721047,421,47,14735,502,1246,2424,8165,243473,T
285162277,884,140,34476,502,1059,2424,3834,243334,F
376263990,1008,248,65520,502,1114,484,6118,244207,T
391286709,670,111,64990,502,2709,2424,8133,243820,F
788066854,195,61,17355,502,611,484,4506,244211,T
986291438,843,129,27819,502,769,2424,7970,243400,F
452074956,1894,342,58714,502,962,969,4184,243400,T
869603503,610,78,51240,502,507,2424,8013,243383,F
620806683,1196,225,59800,502,3026,969,8392,243992,T
778251643,837,123,19251,502,841,2424,6302,243951,F
291501648,1074,213,83772,502,5683,1939,8255,243810,T
781611948,869,112,41712,502,695,2424,4601,243470,F
099048326,1961,318,125504,502,647,1939,6157,244027,T
429321751,644,117,45724,502,621,2424,4337,243653,F
927354390,275,69,17600,502,1287,1939,5810,243448,T
654915979,912,129,43776,502,466,2424,3942,243656,F
797272066,2024,354,99176,502,1513,1939,8690,244052,T
922112168,912,81,23712,502,472,2424,4462,243247,F
544890126,1873,316,132983,502,2741,969,6257,244203,T
691519102,870,72,66120,502,716,2424,6545,244211,F
898893542,1037,211,68442,502,1752,1454,3891,243238,T
081309971,820,117,43460,502,5974,2424,8046,243877,F
321502764,2070,334,74520,502,488,2424,4855,244158,T
640407144,905,120,26245,502,1114,2424,7891,244127,F
967696335,386,18,33196,502,1820,969,8010,243633,T
149946077,612,66,30600,502,841,2424,5858,244072,F
861284192,261,37,7047,502,512,1939,4823,244182,T
454282076,797,141,48617,502,7767,2424,4509,243765,F
175464201,1944,326,77760,502,2678,1454,6257,244181,T
786543553,816,72,52224,502,1378,2424,8385,243431,F
267283007,1836,322,156060,502,754,484,6323,243703,T
220229524,921,132,67233,502,1370,2424,6663,243703,F
585918598,622,65,34210,502,1726,969,5821,243286,T
826920164,835,118,81830,502,1585,2424,8348,244093,F
296718941,1289,230,27069,502,476,2424,4366,243413,T
853890644,929,90,26941,502,1109,2424,7864,243848,F
788849742,331,78,30121,502,1438,1939,4805,243289,T
510949441,685,110,39045,502,6297,2424,8047,243418,F
452040224,1246,235,123354,502,903,484,4746,243843,T
349131577,692,88,29756,502,547,2424,7827,243623,F
678904041,827,126,34734,502,33288,1939,8354,243611,T
486279104,641,120,54485,502,869,2424,6054,244166,F
895731105,1144,260,27456,502,1004,969,6366,243769,T
172908441,708,118,43188,502,3192,2424,6097,243243,F
747900510,1875,306,91875,502,892,2424,4241,243595,T
897837913,649,118,18172,502,1059,2424,6168,243812,F
213391246,338,12,11154,502,1820,1454,6252,244147,T
292504369,831,85,39057,502,708,2424,4135,243231,F
582286513,470,42,28670,502,511,2424,6679,243707,T
883247570,639,103,17892,502,693,2424,4660,244151,F
128776543,1828,348,36560,502,8962,1454,5887,243909,T
347485133,681,95,47670,502,513,2424,6181,243662,F
807256661,1021,249,101079,502,19418,1454,4373,243585,T
009496950,773,116,34785,502,597,2424,8389,243495,F
514969178,1287,229,75933,502,746,484,8532,243792,T
460143678,872,91,73248,502,903,2424,8451,244121,F
563104401,779,112,42845,502,844,1939,4144,243820,T
054733488,696,68,61944,502,608,2424,4356,243336,F
665699956,2092,361,83680,502,552,1454,4388,243427,T
727992465,606,67,50904,502,556,2424,4677,243996,F
481140926,725,116,60900,502,506,1454,5768,243842,T
316407132,882,137,86436,502,792,2424,4036,243603,F
504576981,1248,261,37440,502,602,1939,6275,243496,T
726886483,775,118,37975,502,13707,2424,7819,243277,F
629232604,1104,221,86112,502,4569,484,8359,243357,T
305715179,868,90,71176,502,6853,2424,6215,244008,F
152659485,1123,227,105562,502,19418,969,5790,243768,T
315296093,770,128,63910,502,712,2424,6321,243581,F
631213317,301,56,24080,502,594,484,4009,243430,T
631817799,834,71,60882,502,725,2424,5777,243336,F
096205347,213,29,5325,502,468,484,4160,243506,T
338761352,644,94,32844,502,673,2424,8314,243434,F
479380384,1243,214,44748,502,1309,1939,4797,243493,T
263845864,736,123,29440,502,1147,2424,6218,244057,F
240424824,1066,251,72488,502,1104,1454,4197,243430,T
650434505,821,92,36945,502,1493,2424,4796,243437,F
318884526,325,21,9100,502,3698,969,8488,243686,T
202931065,857,139,83129,502,1403,2424,4059,243504,F
063490590,732,99,62952,502,621,1939,6063,243254,T
030631627,631,108,30288,502,606,2424,4098,243567,F
965636485,732,93,27084,502,1346,1939,6509,243716,T
520923310,677,117,67700,502,2912,2424,4755,244053,F
168914892,632,68,54984,502,6472,969,8100,243736,T
175243408,687,84,52212,502,606,2424,8069,243617,F
996554170,1877,329,118251,502,1474,484,7798,243931,T
221241646,768,72,21504,502,943,2424,6462,243858,F
343311092,678,69,31188,502,3820,2424,4860,243420,F
018864996,1012,204,41492,502,1266,1454,4766,243716,T
220913954,1863,320,156492,502,496,2424,4264,243929,T
634829308,908,109,53572,502,518,2424,6803,244186,F
354302801,360,52,16920,502,716,2424,4846,243676,T
871834906,620,74,60140,502,974,2424,4837,244034,F
722952972,994,218,55664,502,787,1939,7996,243617,T
183078225,857,98,57419,502,1301,2424,6071,244037,F
