userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
094938933,744,127,54312,187,1949,1356,1359,50550,F
075708436,1899,237,227880,187,497,271,1532,50421,T
387886195,226,28,31866,187,2118,813,761,50668,T
736529405,1951,366,316062,187,553,271,1413,49911,T
168030417,732,135,110532,187,649,1084,1652,50632,F
018782315,1016,119,35560,187,1036,813,1286,50386,T
042445518,107,19,18404,187,2436,271,1243,50699,T
636514170,1870,312,237490,187,1680,271,1118,49784,T
495440455,2014,265,398772,187,1218,813,1164,50180,T
438802266,2128,333,506464,187,738,1356,1728,49732,F
102039795,1019,114,80501,187,1522,542,1086,50300,T
477334636,2154,246,325254,187,761,271,1099,50339,T
293904534,205,27,46125,187,641,271,1366,49970,T
413325840,383,71,76217,187,1949,1356,1422,49753,T
697192759,2053,338,344904,187,1107,813,884,49785,T
980278574,125,56,10000,187,609,813,1292,50562,T
334287421,325,62,29250,187,1353,813,831,50522,T
016448104,2011,364,406222,187,6090,1356,1349,50161,F
836996288,2029,329,111595,187,547,813,1171,50245,T
242238430,364,39,43680,187,1522,1356,1769,50347,T
444812574,259,65,18648,187,523,271,1486,50476,T
362586299,323,57,47804,187,535,271,1463,50070,T
585230761,2162,228,313490,187,974,813,1318,50290,T
939959428,239,66,25334,187,785,1084,1171,50595,T
308193547,149,53,30992,187,4060,813,824,50346,T
264082014,757,166,47691,187,529,813,605,49752,T
271264035,116,11,4988,187,798,1356,1255,49774,T
465332718,366,47,67344,187,616,813,1330,50052,T
739329494,909,143,39087,187,3480,813,1164,49807,T
483090079,290,70,54810,187,541,813,2019,50649,T
531437959,886,113,87714,187,1949,542,633,50550,T
727912505,266,56,35910,187,492,1356,1837,50732,T
042259203,1982,316,360724,187,761,271,1072,50113,T
854649719,2086,365,143934,187,529,271,1117,50415,T
495243129,370,23,28490,187,5413,271,1118,50723,T
340360339,1990,317,398000,187,535,1084,1706,49993,F
634174816,256,22,36864,187,547,542,856,49981,T
527550694,95,35,13965,187,523,1084,1303,49967,T
953421251,985,130,203895,187,1160,1084,1460,50148,F
618974432,822,135,85488,187,560,1356,1970,50138,F
022768455,1005,154,237180,187,1015,542,1383,50251,T
725843852,2073,337,159621,187,535,1084,635,50296,F
869213821,342,11,69084,187,641,542,519,50621,T
864548938,283,46,21225,187,2436,1084,518,50545,T
026202467,1923,367,203838,187,1874,271,503,50086,T
273112713,123,20,15129,187,601,271,1717,50624,T
981658040,112,49,3024,187,518,271,535,50522,T
822282941,2008,267,489952,187,919,813,1332,50700,T
958499721,290,32,49880,187,2214,1356,1245,50327,T
337231885,2077,342,369706,187,696,1084,583,50384,F
125240662,960,161,234240,187,4060,1084,1014,50482,F
174513947,89,75,1424,187,507,271,1279,50183,T
358074321,286,23,31174,187,518,271,1706,50722,T
435379746,2149,313,399714,187,2436,1356,1916,49940,F
259101185,174,78,28536,187,587,1084,782,49823,T
371353457,2102,355,203894,187,994,542,1629,50183,T
111335253,1886,327,81098,187,955,1356,1871,50119,F
066249468,2016,234,459648,187,4060,813,697,50532,T
883617262,1928,247,296912,187,812,271,2020,49875,T
872756539,2073,265,449841,187,667,1084,1669,49794,T
913213961,1914,370,323466,187,785,1356,1582,50146,F
089409899,2123,371,176209,187,3248,813,1682,50715,T
937386146,2071,251,470117,187,5413,542,1559,49803,T
710113658,785,105,139730,187,497,271,1717,49942,T
079472817,317,61,11729,187,518,813,877,49919,T
499300712,226,28,31866,187,547,542,737,50483,T
039968000,1979,358,217690,187,529,542,1197,50592,T
517889979,903,115,170667,187,1874,542,805,50375,T
187735733,2089,253,478381,187,706,813,1056,50700,T
158805691,259,21,15799,187,738,542,1141,50330,T
127298810,114,23,20406,187,955,271,902,50702,T
873402818,154,51,14168,187,616,1356,1093,50303,T
463153310,150,39,23700,187,3248,1084,2052,50405,T
466817343,871,128,195975,187,870,271,1072,50696,T
287401104,2138,345,510982,187,624,1084,1252,50564,F
500715636,830,112,48970,187,840,542,1275,50345,T
918937769,1986,227,466710,187,1133,1356,1815,50491,T
676750854,2152,241,333560,187,1036,271,1211,50077,T
326017789,1990,370,342280,187,738,271,1433,49995,T
590509612,1988,363,129220,187,624,813,1229,50663,T
093902712,371,41,68635,187,798,271,746,50015,T
102087839,178,24,11748,187,560,1084,2079,49908,T
480535875,1983,350,174504,187,2320,1084,1198,50118,F
446799462,1972,344,272136,187,716,813,1741,49920,T
618500684,187,31,46750,166,973,874,1787,48398,F
525839729,172,57,26488,187,1249,1084,612,50302,T
681399767,330,46,50160,187,649,542,1804,50461,T
867355262,289,42,26588,187,1107,1084,1253,50431,T
849673550,884,149,66300,187,624,542,845,50575,T
879276982,335,37,71690,187,609,271,1091,50493,T
004022922,1867,249,421942,187,1522,1084,991,50649,T
946244732,743,101,31949,187,1740,813,640,49999,T
231785368,752,167,80464,187,667,542,1492,50239,T
404964990,874,101,83030,187,761,542,1515,50430,T
107936372,908,137,54480,187,4872,1084,1684,50625,F
053816012,355,75,25560,187,1082,1084,1455,50204,T
546301701,210,13,15540,187,566,813,1076,50335,T
786726475,932,165,131412,187,2214,271,923,50665,T
856855480,1978,308,205712,187,541,1356,1628,50125,F
908703563,1972,370,82824,187,1433,542,1777,50675,T
911510179,1018,146,36648,187,507,542,809,50717,T
