userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
042962453,154,79,15246,187,127,1356,1341,49895,T
874211913,998,150,74850,187,497,1084,1609,50573,F
611364448,256,18,10752,187,230,813,1023,49822,T
787037797,902,122,85690,187,2118,1084,1808,50672,F
488298562,1947,240,186912,187,186,542,1563,49945,T
954708694,2083,316,193719,187,121,1356,1704,50337,F
262790398,373,77,19396,187,107,1084,1717,50130,T
056605879,1954,342,97700,187,99,1356,1542,50428,F
174157770,249,65,8466,187,120,271,1893,50271,T
483233557,2093,353,154882,187,217,1084,1402,50465,F
138444179,762,143,25908,187,609,271,2021,50165,T
597826456,1938,319,187986,187,273,1356,1147,49817,F
252649483,1877,320,103235,187,676,1084,1590,49871,F
196313354,910,116,35490,187,109,813,1384,49959,T
476922937,1861,331,80023,187,217,1356,809,50592,F
697073349,800,133,26400,187,216,542,1691,50245,T
380750646,795,135,40545,187,295,271,957,49922,T
500055151,861,121,33579,187,290,1084,564,49727,F
973275736,885,146,36285,187,240,542,1678,50042,T
285120665,1858,328,107764,187,101,1356,1789,50386,F
312485234,215,27,19565,187,197,813,1704,50720,T
701060443,829,163,28186,187,369,1356,1448,49824,F
849412668,1880,314,146640,187,219,813,933,49773,T
897633707,845,99,16900,187,154,1084,1453,50403,F
234021715,783,135,16443,187,117,813,1587,50390,T
182498448,991,157,36667,187,609,1356,1628,50063,F
886640463,856,103,79608,187,256,542,1476,49894,T
853836821,813,148,56910,187,291,1084,1135,49824,F
852356018,189,41,10206,187,133,813,1257,49875,T
926459225,2020,372,173720,187,160,1356,1458,49999,F
790718836,1888,374,181248,187,502,1084,1424,49806,F
711080702,318,30,24804,187,243,542,2003,49819,T
143070045,2095,252,180170,187,137,1084,1437,49935,T
404865630,894,153,74202,187,1740,1356,1510,50195,F
519473966,2130,313,166140,187,4060,271,1079,50504,T
757025081,1950,309,144300,187,1571,1084,625,50012,F
228095669,753,102,54216,187,142,1084,1507,49750,F
694804100,202,34,9292,187,128,1084,941,50012,T
070617847,955,97,95500,187,1160,1356,2072,49990,F
627638546,925,127,24975,187,130,271,1547,49739,T
825494728,2139,344,98394,187,228,1356,1786,49865,F
693578916,852,114,41748,187,113,542,1248,49965,T
709459364,357,62,13923,187,224,1084,775,50285,T
646650982,727,103,63976,187,270,1356,1330,49763,F
936280546,1937,329,162708,187,226,813,1998,50682,T
293802081,2107,308,166453,187,132,1084,992,50075,F
517112977,948,159,77736,187,101,542,814,50468,T
470385587,2018,365,100900,187,641,1084,1633,50570,F
749543166,363,49,14520,187,220,1356,1050,49954,T
250100379,996,127,86652,187,111,1084,1438,50701,F
235506738,143,71,5291,187,355,542,1006,50519,T
472078079,989,124,65274,187,1036,1356,1427,49901,F
283936363,148,13,6660,187,111,271,1097,50245,T
448186593,2070,363,136620,187,412,1084,1830,50628,F
480116321,1011,161,85935,187,278,1084,1090,49804,F
567841443,883,135,68874,187,355,813,1309,50351,T
534133330,315,39,29925,187,136,813,934,50444,T
486538697,1990,328,41790,187,190,1084,876,50451,F
418220820,2078,369,168318,187,99,1356,1233,49799,F
637626045,920,104,29440,187,121,542,1464,50199,T
973764557,173,33,9169,187,109,813,1419,50042,T
811180061,937,109,35606,187,318,1084,1111,50736,F
780999069,295,52,24485,187,155,1084,1250,50473,T
194377014,2083,326,47909,187,119,1356,1893,50072,F
623672197,838,103,35196,187,157,1084,1476,50437,F
038582864,199,66,16318,187,119,542,1195,50391,T
050678107,832,146,43264,187,535,271,582,49939,T
104007251,1868,357,162516,187,154,1084,818,49925,F
313799888,752,110,46624,187,162,1356,1138,49749,F
684445367,195,53,11895,187,107,813,1591,50666,T
331353333,250,28,23000,187,131,813,1195,49938,T
220568198,2050,354,96350,187,283,1084,1978,50683,F
457025159,2065,332,88795,187,124,1084,1847,50347,F
078236869,1870,352,130900,187,1188,271,1209,50454,T
841828994,151,16,4379,187,492,1356,2041,50086,T
339681927,1981,328,39620,187,127,1084,983,50353,F
649168400,1910,349,135610,187,99,813,1304,50724,T
950812346,901,132,33337,187,306,1084,1570,50068,F
398838220,762,124,38862,187,306,271,1131,49731,T
663027875,2146,353,180264,187,280,1356,1092,50639,F
367896219,383,19,32938,187,195,271,701,50113,T
407789524,1990,356,49750,187,122,1084,1240,50193,F
695758281,1912,310,162520,187,273,1356,1426,50179,F
149968767,2094,350,194742,187,169,542,587,50006,T
470586946,998,146,73852,187,331,271,1197,50152,T
793795625,1866,314,97032,187,189,1356,1075,49954,F
688159844,744,118,46128,187,199,1356,1409,49868,F
750936069,2107,350,164346,187,135,271,1916,49738,T
320870208,840,158,84000,187,188,1356,1124,49952,F
764473078,844,108,27008,187,123,813,1333,50182,T
250949084,141,21,4089,187,316,1084,709,49973,T
868034084,981,139,20601,187,123,1084,1176,49888,F
950399099,1868,325,78456,187,487,1084,858,50736,F
995674368,935,113,59840,187,100,271,646,50095,T
582736530,250,24,22000,187,198,271,1302,49787,T
396949907,2081,353,62430,187,291,1084,1637,50276,F
550978479,283,20,9056,187,283,813,1249,50224,T
157338073,994,120,70574,187,473,1356,1338,50222,F
652527143,2126,369,167954,187,150,1084,1350,50093,F
446438003,138,37,8832,187,108,271,804,49788,T
