userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
851140231,1903,330,352055,91,1541,1934,3598,44152,T
737873695,1344,189,13440,91,899,1451,4381,44025,T
035259342,321,35,61311,91,1660,1451,3129,43787,T
058659011,1211,164,182861,91,918,967,3057,44710,T
507123123,539,142,76538,91,696,1451,3572,43961,T
524724542,445,39,35155,91,918,967,6645,44169,T
164147187,1193,168,280355,91,731,1934,5972,44136,T
351957256,1427,173,37102,91,546,2418,5066,44125,T
043310424,1195,158,47800,91,731,1934,5013,44338,T
917643590,1203,185,168420,91,560,2418,6463,44687,T
025968483,1273,169,295336,91,436,967,6173,44341,T
539196005,1266,171,239274,91,1027,967,3667,44616,T
920070603,2008,305,431720,91,2055,483,3471,43781,T
305551822,266,53,33250,91,625,1934,6481,44046,T
220158511,565,29,20340,91,2877,967,6353,43821,T
618736921,540,37,91800,91,546,1934,6262,44099,T
878648964,519,80,78369,91,532,1451,3206,44439,F
057048503,1899,335,351315,91,770,2418,6290,43847,T
787138768,1832,320,150224,91,608,967,3066,44390,T
901904268,1157,172,153881,91,2158,2418,4438,43804,T
295384332,1452,132,21780,91,770,483,3648,44369,T
969411881,634,131,25994,91,1392,1451,5097,43827,T
367479022,280,56,3360,91,575,1934,6123,44426,T
787609952,774,122,124614,91,616,1934,6238,44721,T
566678176,1492,129,59680,91,449,1934,4886,44244,T
578179071,1905,329,278130,91,938,967,5278,44412,T
201018932,1928,344,325832,91,2272,2418,3519,44305,T
829593902,693,150,31185,91,899,1451,3070,44746,T
887126415,1451,139,349691,91,553,967,3418,44416,T
730511213,1095,207,144540,91,2698,1934,3759,43781,T
129462133,774,116,152478,91,2055,483,6170,44273,T
980148014,1912,351,143400,91,1798,2418,5990,44013,T
201742021,633,86,144324,91,899,483,3408,44622,T
127371760,1142,144,155312,91,591,483,4879,44575,T
133580991,1943,332,369170,91,1308,1451,6722,43968,T
165379949,207,31,6003,91,591,1934,6281,44150,T
908608890,567,88,90720,91,1349,483,5860,43876,T
338716307,218,81,44690,91,634,967,5768,44233,T
573989070,614,124,68768,91,445,967,4918,43943,T
283769919,1241,192,138992,91,560,967,4356,44601,T
773060958,685,92,51375,91,501,967,4838,43820,T
795650511,1016,159,224536,91,1269,967,3897,44426,T
629069747,511,99,116508,91,4316,1451,3410,44083,T
348686750,1053,111,162162,91,546,1451,5852,44386,T
856960689,1026,166,10260,91,731,483,4938,44196,T
916859733,714,120,27132,91,685,483,6093,43904,T
494179746,396,39,67320,91,1488,2418,2868,43940,F
093237710,1798,352,136648,91,918,2418,5971,44475,T
369475317,1049,132,230780,91,553,2418,3093,44043,F
001241478,1263,194,45468,91,583,1451,4858,44488,T
749096349,1896,353,364032,91,770,483,4765,44112,T
748501630,806,140,66092,91,2398,2418,4429,43785,F
732323596,635,104,135890,91,2698,483,2971,44199,T
614877164,1044,130,134676,551,3206,1012,3145,139412,T
