userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
559848106,256,40,23552,91,899,1934,5987,43931,T
549278197,450,41,10350,91,799,2418,6175,44214,F
361284691,1885,314,154570,91,111,1451,6318,44631,T
825329979,574,33,33292,91,674,2418,5841,44350,F
227890759,1308,156,32700,91,95,1934,6210,44676,T
382137237,344,32,19264,91,256,2418,3160,43927,F
135637250,612,104,23256,91,674,2418,4351,44328,F
803482343,1288,131,83720,91,356,1934,6486,44425,T
525726450,700,96,65800,91,172,1451,6573,44560,T
862348267,504,73,17136,91,95,1934,6581,43986,F
278844446,1202,177,99766,91,110,967,4410,43826,T
491437988,556,26,42256,91,130,2418,6432,44501,F
481280085,779,129,66994,91,474,2418,2989,44613,F
769005554,226,71,8588,91,153,967,4383,43776,T
112382146,374,55,32164,91,440,1451,5023,44205,T
195305817,585,135,42120,91,560,2418,6191,44327,F
928409145,543,29,17376,91,97,967,6109,43935,T
119879294,476,100,20468,91,520,1934,3328,43964,F
523594229,462,92,12012,91,228,483,5840,44593,T
638194086,370,26,28490,91,94,2418,4762,44675,F
279439198,272,84,9792,91,348,483,3689,43937,T
073016553,663,142,21216,91,116,2418,5269,44035,F
704960364,1139,183,30753,91,183,483,5244,44598,T
520613400,790,133,69520,91,2272,2418,3078,43921,F
159201931,656,143,21648,91,93,967,5089,44616,T
895556598,521,121,13546,91,223,1934,3823,44277,F
453130186,704,69,21120,91,274,483,2906,44614,T
564744219,772,102,74112,91,118,2418,2947,44212,F
330876614,1037,164,53924,91,96,1451,3123,44350,T
084113270,540,75,33480,91,2698,1451,2952,44292,F
415812708,1383,137,114789,91,87,483,6207,44309,T
435013038,504,129,19656,91,228,1934,3028,44044,F
478103156,1339,151,119171,91,560,2418,3036,44636,T
021615641,729,87,72900,91,93,2418,5972,44599,F
061379065,435,78,38715,91,86,483,6388,44457,T
001345380,703,146,33041,91,238,2418,6295,44694,F
817793188,1912,313,172080,91,1166,1934,3196,44078,T
853641702,531,96,25488,91,100,1451,5024,44256,F
446236746,735,127,43365,91,315,483,3507,43870,T
652013190,524,136,32488,91,90,2418,6615,44590,F
889246677,1339,171,44187,91,814,967,5144,44299,T
004278182,463,98,30558,91,142,2418,6412,44210,F
714816800,800,140,57600,91,685,2418,6260,44169,F
139721570,518,129,44548,91,241,1451,4481,44758,T
040066856,260,78,21580,91,107,967,3105,44709,T
222308381,537,52,22554,91,187,2418,5964,44405,F
323527909,1328,140,91632,91,1962,1934,6752,44746,T
156764167,442,35,9282,91,99,2418,6416,44051,F
878097634,166,76,5644,91,310,1934,3385,44733,T
001080777,479,118,19639,91,122,2418,3637,44352,F
828551524,339,25,29154,91,119,1934,4476,44255,T
833670896,672,127,45024,91,207,2418,6315,43776,F
197729010,1392,143,36192,91,365,967,3186,44511,T
844608705,435,25,22620,91,203,2418,3295,44031,F
887019703,211,78,20256,91,132,1451,5017,43946,T
412185553,768,129,29952,91,245,2418,3206,44103,F
884087401,618,149,42024,91,770,483,4409,44076,T
937405413,438,49,23652,91,102,2418,6287,44261,F
693279263,793,117,30927,91,123,967,4616,43859,T
265475393,494,79,13338,91,149,2418,4995,43957,F
584919287,1138,140,109248,91,131,2418,6698,44583,T
432081557,474,83,40764,91,2398,2418,2933,43905,F
575709132,325,35,30875,91,169,2418,3861,44066,F
935440875,1253,168,45108,91,2539,483,5852,44680,T
713249908,1247,179,66091,91,91,1934,3005,44150,T
456121285,634,108,38674,91,1166,2418,5248,43889,F
774353391,1261,135,47918,91,86,1934,3810,43787,T
852624336,564,82,35532,91,322,2418,3209,44340,F
517643981,1474,148,61908,91,399,1451,4848,44540,T
516083287,481,89,26936,91,271,2418,2993,44018,F
086004300,1044,165,32364,91,201,1934,5991,43833,T
301905404,541,88,50313,91,101,1934,4624,44710,F
004711487,692,96,40136,91,151,967,5934,43904,T
803932889,730,138,18980,91,1269,2418,4622,44673,F
860091070,251,59,12801,91,140,483,5178,43954,T
897129622,452,136,24860,91,264,1934,3278,44118,F
692961034,2039,329,134574,91,96,483,6443,44478,T
065943717,545,150,45235,91,110,2418,6055,44273,F
963437306,1089,195,54450,91,174,1451,3641,44244,T
883332723,540,83,24840,91,165,1934,6790,44720,F
449632100,1195,191,84845,91,190,2418,3162,44485,T
313515734,480,69,43680,91,784,1934,6360,44156,F
420101640,1319,134,59355,91,109,1934,4710,44429,T
558625874,474,98,26070,91,93,2418,6297,44415,F
121404223,312,52,27768,91,164,1934,3497,43995,T
441500001,435,75,30015,91,269,2418,3201,43933,F
255646247,683,94,23222,91,814,1934,6417,43971,T
466949515,348,48,19836,91,184,2418,5281,43856,F
624732541,488,86,24888,91,3083,967,4313,44229,T
979333086,756,148,47628,91,423,2418,5923,43779,F
372462513,633,146,28485,91,98,1934,5302,44684,T
277979244,676,119,41912,91,289,2418,3291,44147,F
668868175,1257,196,55308,91,186,483,3844,44192,T
806196177,354,48,19116,91,93,2418,3527,44585,F
170600197,1329,152,45186,91,308,2418,3629,44734,T
194921376,350,60,28350,91,90,2418,6076,43911,F
802061530,637,101,13377,91,111,967,4437,44034,T
210070028,727,142,21810,91,113,2418,3653,43806,F
152073031,718,103,49542,91,119,967,6086,44119,T
316007647,608,113,15200,91,120,2418,4806,44245,F
