userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
641754080,781,66,100749,84,931,495,2423,41018,T
113991772,631,100,124938,84,583,2479,2437,41771,F
655673353,784,116,51744,84,489,991,2329,41698,T
820771410,1294,187,279504,84,482,495,1159,41135,T
321483829,1541,185,73968,84,482,1983,2619,41649,T
310835612,1294,134,60818,84,2173,1983,2207,41244,T
027744077,673,106,142003,84,641,495,1655,41698,T
574798247,291,51,26190,84,1086,2479,1247,41536,F
012475643,149,51,7152,84,674,991,1654,41458,T
245891965,152,80,35112,84,782,1983,2078,41513,F
889315405,147,27,10143,84,798,1983,2837,41351,F
400389857,761,119,22830,84,832,1983,2673,41377,T
728124204,1369,130,177970,84,1185,495,948,41958,T
118712072,194,70,16102,84,1086,991,2815,41934,T
823142144,1527,143,54972,84,460,1487,1342,41630,T
532316031,1290,158,168990,84,869,1487,1711,41730,T
894463350,1350,184,178200,84,7824,1487,2718,41344,T
274070891,236,24,20296,84,1057,991,1034,41266,T
238712035,1332,163,282384,84,439,495,1690,41381,T
876485375,322,17,8372,84,1029,991,1866,41593,T
642927789,723,124,37596,84,477,991,2252,41371,T
767096353,307,23,76443,84,782,991,1967,41439,T
026976686,608,67,99104,84,471,991,1710,41447,T
846267914,631,94,64993,84,449,1487,1146,41742,T
501734062,829,107,173261,84,1057,1487,2571,41084,T
489295219,1346,169,170942,84,416,991,1774,41793,T
086425902,605,83,79860,84,477,1487,1935,41011,T
734311474,326,48,54442,84,501,1487,1853,41614,T
354269381,1435,177,176505,84,2608,2479,1880,41049,T
893961680,790,67,137460,84,535,1487,1653,41611,T
672164338,769,114,113812,84,403,495,2920,41027,T
377820778,1369,195,95830,84,1086,1983,1021,41272,T
003153103,1428,176,168504,84,1397,495,2050,41782,T
012605886,313,23,13459,84,592,2479,1557,41710,F
053803003,1349,146,187511,84,1564,2479,1898,41110,T
729879883,810,110,68850,84,1504,1983,1711,41459,T
536060535,670,98,20770,84,399,1983,997,41509,T
878168924,568,90,140864,84,403,1487,1862,41756,T
922079765,154,34,23562,84,1630,1983,2867,41695,F
181696227,352,50,66528,84,411,2479,2307,41635,F
213643717,122,74,23302,84,439,495,1597,41547,T
116890867,1524,169,345948,84,1448,495,2709,41728,T
728246412,328,39,29520,84,477,1487,2607,41178,T
523165932,1277,146,255400,84,738,2479,2687,41866,T
376755061,774,60,80496,84,444,2479,1956,41735,F
852193673,106,42,21412,84,434,495,1425,41696,T
622787913,1534,175,260780,84,528,1983,1032,41531,T
470981950,562,70,14612,84,2794,1983,2582,41730,T
567863154,1510,132,247640,84,3912,991,1271,41823,T
749845107,1302,153,149730,84,521,1487,2306,41309,T
555044333,794,85,76224,84,631,1487,1734,41249,T
373016436,775,70,149575,84,1262,991,1312,41435,T
685837054,550,73,63800,84,641,991,1578,41287,T
218892906,1483,182,148300,84,551,1983,2654,41422,T
110271029,140,34,7840,84,2794,991,2853,41677,T
009418733,143,45,32175,84,460,495,1057,41589,T
704037437,595,91,41055,84,1448,2479,2220,41557,F
816948999,254,29,19050,84,909,1983,2482,41774,F
875362241,1347,163,316545,84,1504,495,1542,41255,T
780525214,734,78,56518,84,652,2479,2096,41583,F
498360935,165,30,30030,84,1564,495,2113,41369,T
624283930,205,39,7995,84,528,991,2690,41567,T
967251721,627,90,103455,84,663,1487,2314,41226,T
092928283,749,110,175266,84,7824,495,2114,41506,T
602288784,95,28,13205,84,815,991,2313,41866,T
123016209,126,37,9324,84,425,1487,2018,41261,T
345883989,1303,138,268418,84,978,1487,2155,41575,T
102597870,198,72,41382,84,460,991,2709,41080,T
699249297,645,124,53535,84,501,1487,1452,41462,T
707109041,631,78,39122,84,1778,495,1063,41660,T
748806429,585,63,75465,84,798,991,2197,41623,T
271959023,1306,153,90114,84,407,991,1739,41029,T
925796075,1456,152,104832,84,674,495,1301,41958,T
847196498,1380,141,270480,84,3556,495,1827,41166,T
671061423,151,68,31861,84,2794,2479,1008,41285,F
835666882,294,22,58800,84,631,1487,1621,41965,T
660881949,108,67,17172,84,521,1487,2950,41405,T
673990558,731,117,92837,84,1630,1487,1952,41977,T
235148235,1370,144,45210,84,889,991,1770,41870,T
035675538,688,114,120400,84,2301,2479,989,41431,F
749440158,296,54,11248,84,4346,2479,2750,41040,F
628366444,195,67,33540,84,7824,2479,1697,41691,F
031571104,214,25,28248,84,558,495,2201,41538,T
919452018,700,71,98000,84,1003,2479,1890,41248,F
325650932,1305,188,283185,84,411,991,1478,41603,T
250277325,817,80,191178,84,1349,1983,1524,41121,T
777593625,791,89,94129,84,832,1983,1492,41552,T
021762631,1420,161,15620,84,1397,2479,2611,41168,T
171800888,645,125,43860,84,1222,1983,2384,41562,T
387794759,577,62,87704,84,528,1487,1972,41516,T
868084813,1421,137,284200,84,1117,2479,1645,41192,T
039341173,652,87,96496,84,3009,2479,1109,41870,F
355800373,320,26,38080,84,1862,1983,1565,41653,F
831850049,234,49,46098,84,4890,991,1698,41131,T
178162004,1495,196,186875,84,641,1487,1925,41167,T
930442540,630,96,102690,84,1029,2479,2775,41525,F
971180276,1247,156,226954,84,1117,2479,2478,41178,T
570002699,381,44,86106,84,620,991,1187,41583,T
678953323,1285,154,242865,84,501,2479,2130,41546,T
195335055,808,72,129280,84,1778,1983,2134,41837,T
762336401,1512,178,27216,84,449,495,1997,41032,T
375851490,652,93,112796,84,558,991,2654,41853,T
703180571,1395,162,16740,84,1700,1983,2023,41623,T
250325435,659,79,67877,84,395,495,2347,41830,T
528636210,1527,168,225996,84,1150,1487,2876,41142,T
213779735,666,95,59940,84,391,991,2732,41519,T
780398216,772,107,140504,84,3009,1487,2862,41396,T
996694894,384,20,86016,84,631,2479,2172,41930,F
831050264,1415,162,346675,84,465,1487,2713,41050,T
073468594,567,110,47628,84,551,1983,2840,41868,T
138026754,243,18,14094,84,2059,2479,1508,41969,F
830008910,1332,152,109224,84,399,1487,2087,41848,T
501201989,249,45,39840,84,2445,2479,1886,41606,F
460924938,390,35,32370,84,698,1983,2587,41973,F
307204489,200,56,8800,84,1630,2479,2821,41553,F
475863671,766,58,29874,84,444,2479,2659,41884,F
031057116,1280,179,264960,84,2173,2479,1762,41339,T
916396227,164,28,24436,84,1003,1983,2197,41840,F
243630694,252,43,49392,84,429,991,2845,41218,T
589776654,654,117,107910,84,395,1983,1648,41298,T
027344280,272,27,34544,84,4890,1983,1827,41210,F
179101062,107,54,18832,84,551,2479,2146,41680,F
860211204,1318,150,320274,84,1862,1487,1251,41087,T
853211714,1347,172,253236,84,1700,2479,1052,41711,T
934151260,1526,195,257894,84,711,1983,1693,41249,T
563733388,562,80,136566,84,2301,1487,2085,40991,T
681079569,173,68,9688,84,465,991,1806,40989,T
360672298,671,91,141581,84,674,495,2829,41485,T
623253819,815,126,158925,84,449,1983,1698,41809,T
136049233,1515,198,283305,84,501,991,1997,41488,T
691445970,1433,196,160496,84,1185,991,2093,41883,T
110132332,246,48,57318,84,652,1983,1644,41899,F
359406546,255,46,58905,84,1150,495,1917,41371,T
512488357,237,66,45978,84,2794,1487,2045,41161,T
596206704,638,100,95700,84,1029,2479,1774,41982,F
030088172,203,75,19488,84,575,1983,1482,41316,F
244615174,222,77,4440,84,1564,495,1413,41970,T
786494034,1441,131,138336,84,3009,495,2974,41156,T
469851311,90,81,4770,84,620,495,1950,41276,T
545001953,202,11,28886,84,407,495,1535,41664,T
402644472,1494,141,204678,84,439,1487,1763,41948,T
134799608,823,108,116866,84,4890,495,1388,41781,T
740083274,1452,129,37752,84,4346,1983,1469,41020,T
853632041,651,111,20832,84,652,495,1022,41742,T
905758411,235,71,29140,84,1778,1487,1614,41916,T
321497131,358,17,23270,84,521,1983,1934,41616,F
664073482,309,54,21939,84,429,1983,2934,41483,F
331877584,720,108,170640,84,551,1983,1448,41007,T
197228281,261,51,57942,84,3556,1487,2417,41955,T
166495207,1300,152,133900,84,2173,1983,1489,41044,T
701845458,667,91,166750,84,407,1487,1480,41753,T
783082725,1290,175,171570,84,1397,2479,1711,41174,T
521392319,681,61,51756,84,631,495,2272,41903,T
706594130,139,44,4031,84,5588,991,2022,41673,T
529386449,670,65,161470,84,395,495,2591,41692,T
058307809,755,121,35485,84,641,1983,1730,41979,T
031439779,1502,131,106642,84,620,1983,2385,41437,T
210311938,694,72,14574,84,641,991,2470,41276,T
916271401,128,27,22656,84,434,1487,1521,41803,T
505337886,117,80,12636,84,489,991,1535,41824,T
403422593,292,16,35624,84,798,1983,2741,41233,F
137689393,306,46,16218,84,460,1487,2266,41780,T
581173435,591,74,27186,84,4890,2479,2077,41670,F
140036155,1290,172,76110,84,3009,1487,2391,41139,T
912247576,700,73,60200,84,1003,1983,1399,41110,T
975599418,1277,163,48526,84,403,495,1437,41031,T
645506406,737,63,142241,84,3912,2479,1904,41650,F
799537929,535,120,85065,84,528,1983,2031,41952,T
323366651,819,122,20475,84,931,495,2838,41141,T
871904738,629,77,84915,84,460,991,1761,41692,T
190980028,1252,151,201572,84,7824,2479,2815,41951,T
607643125,113,21,5198,84,767,1983,975,41767,F
407882294,1348,140,63356,84,2301,2479,1126,41106,T
867170738,577,60,21349,84,416,991,956,41195,T
370692037,671,108,134871,84,3260,495,1569,41082,T
949750415,659,110,7249,84,738,2479,2503,41143,F
808025627,1302,159,195300,84,489,2479,1596,41864,T
068585539,98,44,1176,84,543,2479,1602,41723,F
761205127,213,38,6816,84,4890,495,2504,41875,T
387873074,215,59,6880,84,869,1487,1330,41884,T
792980708,244,68,3904,84,4346,991,1952,41693,T
140722158,1414,140,315322,84,444,991,1958,41646,T
625382910,1422,176,210456,84,674,1983,1632,41388,T
148657720,283,37,17829,84,2794,1487,2602,41918,T
242534352,588,90,108192,84,528,991,1429,41452,T
196008534,792,94,127512,84,543,991,2733,41693,T
854941721,779,119,22591,84,566,2479,2292,41636,F
651218811,747,80,26892,84,1956,991,2465,41238,T
279195769,292,15,36208,84,1564,991,2280,41276,T
712992664,290,30,14500,84,407,991,1390,41203,T
613333243,1534,129,70564,84,815,1487,1599,41435,T
052968032,581,111,89474,84,535,495,1668,41693,T
110209751,1459,163,312226,84,686,2479,1048,41960,T
853205158,206,58,33166,84,954,991,1836,41762,T
744687786,1266,136,316500,84,558,2479,2509,41426,T
586395999,118,12,26668,84,1397,1487,1565,41504,T
421128851,531,60,14868,84,416,495,1973,41334,T
039460259,552,60,115920,84,1086,1983,1913,41507,T
514926198,324,49,65448,84,558,495,1984,41795,T
067454039,629,122,55981,84,7824,2479,1434,41956,F
470007736,276,36,15180,84,1086,2479,2301,41548,F
613864859,604,101,81540,84,482,1487,2248,41431,T
137920321,350,50,58450,84,2173,1983,2434,41755,F
141163204,1461,167,137334,84,514,1487,1397,41341,T
083480161,1474,150,153296,84,566,991,1796,41080,T
303128311,1515,130,310575,84,7824,495,2570,41404,T
355034632,665,106,155610,84,1150,991,2658,41517,T
360700687,164,23,19188,84,407,1487,1274,41123,T
001662620,1286,190,96450,84,738,2479,1988,41280,T
857745792,1433,147,181991,84,2794,2479,1457,41777,T
007351118,562,84,12364,84,489,1983,2836,41976,T
817226724,1543,133,279283,84,1150,495,2885,41413,T
500686158,240,34,38880,84,954,495,1519,41691,T
622062747,795,126,74730,84,850,991,1533,41068,T
188537727,1255,130,87850,84,738,991,2099,41083,T
451420502,194,76,7178,84,611,1983,1944,41905,F
307832739,1350,182,67500,84,583,991,1693,41074,T
710649823,594,69,71280,84,543,1983,1993,41514,T
353166703,591,74,68556,84,1700,2479,1842,41766,F
669019740,742,61,117978,84,1117,495,1197,41254,T
399867598,173,19,4325,84,815,2479,2304,41649,F
046993327,828,103,56304,84,1349,495,2258,41087,T
246743312,669,98,71583,84,3912,2479,1580,41789,F
158341674,1452,138,56628,84,395,1983,2213,41057,T
561814654,246,80,45264,84,2608,2479,994,41877,F
391334163,1513,167,33286,84,399,1487,2527,41183,T
511267882,1237,118,231319,84,7824,991,1519,41381,T
071612399,1438,182,69024,84,3912,1487,1823,40990,T
866997951,202,56,22220,84,3009,1487,1396,41871,T
551814340,263,68,57597,84,465,2479,1255,41687,F
429040682,1290,142,85140,84,1630,991,1153,41981,T
086810852,795,85,92220,84,1057,2479,2777,41953,F
840573989,1461,165,216228,84,575,991,1944,41132,T
705835870,134,58,16884,84,767,1983,2472,41798,F
624502582,1284,198,186180,84,1057,495,1980,41870,T
205952712,596,81,14304,84,1448,495,1969,41890,T
991170896,1423,162,133762,84,1262,991,1065,41153,T
956063296,622,122,80238,84,444,1983,2541,41357,T
320121296,193,53,31073,84,798,991,1817,41870,T
245886433,95,58,7220,84,1262,2479,2218,40982,F
458155815,304,44,32224,84,439,1487,1326,41294,T
599414190,385,38,21560,84,1029,495,1946,41551,T
727826786,795,99,127995,84,1862,495,2276,41982,T
069855481,105,59,4620,84,465,991,1750,41707,T
969355418,777,63,157731,84,489,1487,2361,41722,T
843847455,686,76,98784,84,1349,2479,1761,41859,F
935609738,172,58,2752,84,1349,2479,2157,41466,F
272300233,177,51,27081,84,711,991,1811,41519,T
839877170,106,67,6148,84,1222,1983,2199,41013,F
357728813,745,71,139315,84,641,991,2119,41001,T
793553171,1316,132,211876,84,407,2479,2150,41141,T
237441790,1339,162,325377,84,6520,991,2090,41903,T
873381441,1383,143,232344,84,449,1983,2315,41829,T
852879521,809,112,199014,84,543,1983,1096,41073,T
421613847,199,81,24875,84,514,1983,2596,41041,F
508263646,1454,137,228278,84,631,495,2324,41458,T
193911109,366,28,41358,84,429,2479,1499,41953,F
561001780,785,109,73790,84,425,1487,1615,41939,T
630742571,710,122,151940,84,832,2479,2252,41850,F
241853832,708,102,138768,84,434,1487,1098,41770,T
269741069,1520,149,259920,84,391,1983,1478,41306,T
782732488,730,115,138700,84,3009,495,1587,41693,T
473844608,1248,189,133536,84,724,1487,1941,41248,T
445584655,1482,180,189696,84,521,991,1935,41202,T
876469078,304,51,71440,84,954,1983,1643,41821,F
637916409,1436,137,219708,84,1003,2479,1014,41033,T
761585288,166,15,22410,84,403,1487,1975,41100,T
587677840,1318,175,274144,84,495,1487,2460,41199,T
153447558,1245,198,287595,84,1630,991,1193,41850,T
822338949,1529,173,255343,84,1029,991,2535,41176,T
204515268,589,72,34751,84,909,991,1724,41911,T
287410198,706,119,87544,84,954,1983,1247,41745,T
777606198,371,56,90153,84,1862,991,2031,41461,T
100287126,665,90,66500,84,5588,1487,1607,41717,T
902773763,1468,188,114504,84,2173,1983,2019,41765,T
920790101,96,13,1248,84,465,1487,1639,41484,T
513011453,104,52,21736,84,889,1983,1802,41016,F
076355736,1435,188,55965,84,1222,991,1571,41433,T
703170858,100,76,5500,84,434,1983,1887,41868,F
241718270,1445,190,200855,84,489,495,1355,41755,T
572308308,204,43,34068,84,465,1983,2464,41867,F
037879024,631,70,122414,84,724,1487,2348,41520,T
696054427,342,18,85500,84,1086,1983,1439,41685,F
780500575,1479,148,368271,84,592,1487,1855,41575,T
986896727,674,84,111884,84,551,495,1500,41226,T
120165233,199,51,11144,84,465,1487,1069,41061,T
340571178,1321,148,284015,84,575,2479,2216,41572,T
