userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
598210206,332,34,29880,84,92,2479,2333,41853,F
033930176,1274,173,76440,84,320,1983,2350,41625,T
002381773,707,108,58681,84,92,1487,991,41080,T
608530139,585,103,28665,84,149,2479,1425,41409,F
596710397,332,52,27224,84,3260,991,2252,41219,T
717837116,714,125,66402,84,98,2479,1211,41930,F
622162152,701,94,32246,84,142,1983,1714,41006,T
439753308,230,65,18630,84,101,1983,2447,41597,F
897616150,608,79,23712,84,85,991,2862,40978,T
322923325,117,21,10179,84,358,1983,2684,41198,F
140280602,1304,130,121272,84,199,495,1775,41938,T
903838074,95,48,6080,84,160,1983,2066,41921,F
683092106,672,110,36960,84,328,2479,1734,41640,F
322512563,723,102,34704,84,140,495,2281,41384,T
789486335,815,64,18745,84,558,2479,2558,41678,F
693855301,247,31,5434,84,231,1487,1744,41128,T
107235906,1486,131,34178,84,117,1983,1956,41220,T
882780281,568,84,40328,84,201,2479,1966,41172,F
993072483,105,61,9135,84,140,1983,2611,41064,F
631825591,559,70,40248,84,91,1487,1953,41059,T
814224064,225,56,16425,84,3912,991,1779,41056,T
089627275,308,56,27104,84,5588,2479,1722,41425,F
179666747,652,62,13692,84,477,495,2419,41085,T
131369156,376,12,21056,84,105,2479,1202,41373,F
065696787,346,52,10726,84,89,1983,1081,41701,F
663935508,536,87,51992,84,78,1983,2791,41059,T
272944421,192,56,5376,84,2608,2479,965,41300,F
730115929,574,119,22386,84,124,991,2305,41544,T
710793128,1483,148,65252,84,543,991,1737,41597,T
695668282,384,20,27648,84,117,2479,2178,41739,F
915005222,280,45,17920,84,92,1487,1931,41558,T
549867712,372,31,18972,84,84,2479,1722,41518,F
244068348,1411,168,139689,84,133,1983,2457,41340,T
563418226,306,18,19584,84,197,2479,1722,41808,F
928322483,1520,194,71440,84,124,495,1189,41188,T
090126678,790,118,32390,84,86,2479,1752,41603,F
661573370,285,32,10260,84,100,1983,1344,41324,F
848948098,1539,139,70794,84,100,2479,1614,41779,T
422048844,1366,153,53274,84,285,495,2714,41005,T
688764389,354,57,7788,84,177,1983,2623,41969,F
946410974,592,102,14208,84,83,1983,2608,41218,T
286446674,303,33,27573,84,121,2479,2390,41399,F
978859745,119,65,4760,84,125,991,1668,41717,T
076420187,605,58,44165,84,134,2479,2547,41520,F
165482210,214,52,7276,84,101,495,1917,41582,T
522493346,207,19,9315,84,300,1983,1401,41360,F
148835387,342,20,31464,84,117,1487,985,41881,T
969386467,180,50,7380,84,116,2479,1132,41625,F
892633403,104,16,10192,84,232,495,1698,41917,T
757186279,708,84,19116,84,85,2479,1893,41430,F
481369141,1284,164,70620,84,161,495,1720,41611,T
533737326,190,20,18620,84,111,1983,1959,41826,F
083746744,779,73,52193,84,152,2479,1893,41006,F
966380723,724,98,68056,84,358,991,2074,41206,T
869279065,158,37,9480,84,82,495,1354,41489,T
140505466,568,86,56232,84,83,2479,1437,41431,F
018757985,365,43,13140,84,133,1487,1933,41599,T
807254033,555,89,11655,84,620,2479,1656,41673,F
410998003,1515,139,39390,84,320,991,1404,41647,T
447813052,333,35,6993,84,601,2479,1087,41029,F
744968509,294,34,29400,84,223,495,2488,41762,T
900927503,90,40,6390,84,81,2479,1931,41930,F
847363635,344,40,18576,84,95,495,996,41932,T
140950794,208,73,9360,84,99,1983,2299,41917,F
843734986,1463,182,131670,84,260,1487,2422,41735,T
191786039,700,128,56000,84,133,2479,2410,41533,F
499182151,173,42,7958,84,889,1487,1603,41643,T
112104842,739,87,53208,84,102,2479,1077,41467,F
788968796,1335,169,84105,84,228,2479,2436,41463,T
353577075,101,28,7373,84,87,2479,1366,41403,F
264681570,333,61,9657,84,136,495,2018,41291,T
673602547,150,20,9900,84,80,1983,2041,41785,F
766639391,620,65,29140,84,193,1983,2158,41286,T
203671836,334,14,16366,84,269,1983,1697,41231,F
710325706,94,76,2538,84,429,2479,1538,41050,F
196616193,800,68,66400,84,90,991,2277,41169,T
057492672,1263,131,40416,84,87,991,2728,41027,T
732348945,237,33,11376,84,85,1983,1729,41686,F
057351373,573,93,13752,84,130,495,2151,41884,T
070141633,267,19,12282,84,141,2479,1551,41119,F
898592167,1295,139,121730,84,109,991,972,41261,T
446302320,350,45,16800,84,175,2479,2205,41267,F
009589774,1320,195,88440,84,178,2479,2784,41554,T
494399430,709,125,17725,84,80,2479,2475,41136,F
773537799,181,41,4706,84,128,2479,2515,41048,F
229928226,1392,154,89088,84,110,495,2219,41017,T
231560336,125,65,5875,84,127,1983,1594,41186,F
344280417,815,84,53790,84,151,1983,2256,41583,T
675658761,1532,162,36768,84,110,2479,2346,41514,T
597884261,771,91,48573,84,180,2479,1189,41573,F
913466275,575,105,16100,84,122,2479,2136,41533,F
531367128,1511,178,81594,84,95,1487,2038,41265,T
494708482,647,121,38173,84,166,1487,1562,41419,T
407072318,612,119,56304,84,157,2479,2905,41323,F
434565903,1401,174,75654,84,611,991,1743,41479,T
542890757,703,86,32338,84,83,2479,2075,41072,F
292983746,302,13,12986,84,155,1983,2020,41904,F
747419577,266,15,21280,84,460,495,2248,41484,T
025561224,1524,168,91440,84,134,1983,2979,41232,T
566264427,244,16,5856,84,203,1983,1611,41864,F
