userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
277524597,384,117,33792,369,2100,1535,784,140862,F
006509355,420,90,73500,369,1777,1535,2128,141506,F
269821685,321,118,64200,369,2310,767,2189,141038,T
318078674,868,140,85932,369,3150,383,1496,141700,T
739314140,1408,185,159104,369,1540,767,1224,141037,T
822243392,810,100,147420,369,1711,1151,1315,141342,T
986440985,1543,193,154300,369,1490,1535,1062,141404,T
804862553,757,141,109765,369,19805,1535,1422,141532,T
392784306,782,148,144670,369,6931,1918,1888,141117,T
208262061,1523,192,263479,369,4472,383,1083,140856,T
678846042,327,74,55917,369,3465,1535,2003,141300,F
398908624,1403,188,84180,369,4332,767,1558,141796,T
141419993,1510,186,341260,369,7296,767,1430,141294,T
802723643,1742,377,235170,369,2069,767,1891,141115,T
776900032,871,138,195104,369,8155,1535,1427,141791,T
291632899,1385,169,117725,369,9902,383,1746,141006,T
043396858,1507,179,342089,369,3465,767,1841,141414,T
180208315,1910,346,200550,369,4472,767,985,141798,T
231959678,740,138,27380,369,4621,767,1835,141767,T
022024539,1654,332,122396,369,1474,383,1124,141676,T
982643624,1428,168,301308,369,2829,1535,1216,141227,T
466043500,1729,354,157339,369,3381,383,1030,141076,T
451908694,1920,396,282240,369,1523,1918,1822,141589,T
194250175,1359,188,198414,369,2615,1535,1100,141564,T
850451044,1679,362,283751,369,2888,383,1609,141610,T
519908673,604,103,97848,369,2100,1535,1778,141673,T
131370356,262,69,30916,369,7296,383,1334,141297,T
332202338,598,136,34684,369,1474,767,1810,141536,T
483518081,1439,184,97852,369,2166,1918,1278,141685,T
512687983,610,162,120170,369,1490,1918,848,141222,T
623145289,768,102,125952,369,15404,1535,1320,141641,T
679732715,1741,341,372574,369,3381,1151,2208,141573,T
890929860,1321,173,87186,369,17329,1151,2374,141479,T
624824768,1820,352,254800,369,8155,767,1404,141525,T
760748189,768,159,37632,369,2475,1535,1266,141606,T
287027020,1815,332,70785,369,1670,1535,2280,141326,T
743511826,1495,185,340860,369,1631,1918,1382,141695,T
599209931,1419,164,214269,369,3381,767,1826,141597,T
847026385,317,103,29798,369,19805,1151,2164,141662,T
703121047,1402,140,159828,369,6931,1918,1733,141200,T
