userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
874689725,729,119,34263,369,883,383,1579,141009,T
105474558,488,96,45384,369,710,1535,1482,141169,F
736106579,1392,206,129456,369,316,767,1320,140985,T
783648625,1951,342,44873,369,344,1535,2205,141094,F
136131005,389,85,8169,369,2069,1151,1343,141460,T
159187510,553,76,32074,369,457,1918,1423,140933,F
849354054,841,126,30276,369,277,383,1321,141823,T
770439363,536,69,44488,369,429,1535,2135,141567,F
747162849,1812,286,97848,369,462,1918,1686,141257,F
999004427,1387,157,122056,369,393,1918,1090,141207,T
283655495,1871,288,69227,369,810,767,1023,141475,T
912624585,355,119,31950,369,1711,1918,1650,141644,F
878982307,1717,360,72114,369,391,1535,904,141312,T
478727495,1844,290,49788,369,1050,1535,1663,141391,F
524309634,1511,136,117858,369,359,383,1557,141634,T
332620415,292,113,21900,369,441,1535,2018,141773,F
377459825,534,84,12816,369,1205,767,1462,141331,T
128134411,2003,300,40060,369,364,1918,1119,141557,F
312182887,784,99,28224,369,1359,1535,1839,141585,T
944434477,270,82,24300,369,417,1918,1602,141835,F
521236855,557,89,26736,369,289,383,2407,141284,T
069476953,326,85,12062,369,550,1918,1840,141829,F
018512961,837,105,41850,369,753,383,1099,141401,T
351859130,1786,321,60724,369,1165,1535,1504,140858,F
533186109,1463,184,122892,369,2432,1535,2387,141345,T
852531535,1835,303,64225,369,295,1535,975,141500,F
659170838,453,67,38052,369,292,383,1582,141088,T
889240205,465,95,22785,369,559,1535,1652,141544,F
885561001,1841,290,36820,369,478,383,2058,141270,T
049794359,447,76,13857,369,610,1535,1728,141009,F
093124263,1590,158,106530,369,358,1151,732,141679,T
450603434,380,89,12160,369,693,1918,1125,141804,F
195247386,1374,138,94806,369,399,383,1871,141785,T
532661375,1752,310,47304,369,1690,1918,1297,141795,F
265790344,1860,381,72540,369,468,1151,1592,141152,T
366512888,481,70,12506,369,894,1918,1625,140930,F
446149390,325,119,28925,369,392,1918,1501,141514,F
165491980,1388,167,122144,369,281,383,977,141667,T
314822316,1360,203,76160,369,304,383,1270,141589,T
143548395,415,90,24070,369,322,1535,1618,141511,F
132320137,747,107,58266,369,894,1918,1570,141250,T
703577761,306,82,29682,369,320,1535,2045,141164,F
185694114,1967,286,43274,369,353,383,1180,141065,T
413116106,411,57,39045,369,2949,1535,1334,141421,F
619836464,763,143,65618,369,969,1151,2374,141704,T
294016416,489,64,45477,369,539,1535,2455,141053,F
374188994,741,160,42237,369,375,767,2239,141484,T
287209577,299,77,13156,369,509,1535,1927,141337,F
777756998,596,126,56620,369,333,1151,1097,141017,T
787396263,273,115,21840,369,442,1918,2325,141450,F
246169026,628,150,20724,369,425,383,1551,141766,T
739707920,351,54,24219,369,298,1535,1692,141532,F
314996447,1339,168,119171,369,371,1535,1737,141370,T
199800205,1953,281,85932,369,3013,1918,885,141635,F
243733691,435,80,37845,369,334,767,2374,141277,T
953881886,519,90,18165,369,338,1535,1640,141174,F
386139824,1313,201,105040,369,489,1151,1661,141234,T
726204010,324,119,27864,369,635,1918,1984,141003,F
415888374,1666,344,41650,369,348,1535,916,141770,T
646615106,363,83,17061,369,359,1535,2391,140915,F
268510190,1426,162,116932,369,2349,1151,2521,141515,T
687264034,388,100,12416,369,517,1535,1812,141203,F
564047239,455,96,29575,369,454,383,1681,141641,T
079332262,283,77,15565,369,1050,1535,1900,141151,F
160322776,675,162,61425,369,1260,1918,1485,141561,T
960564110,338,119,20956,369,2200,1918,1025,141335,F
587273528,1907,344,59117,369,347,1535,2218,141430,T
400325409,325,61,17225,369,561,1535,1854,141300,F
343804953,423,114,28341,369,311,1151,2109,141246,T
197040518,530,69,32860,369,465,1535,2104,141013,F
376739674,1675,356,63650,369,1145,767,2015,141549,T
174722738,271,96,24390,369,3150,1918,2503,141548,F
549297288,322,114,26404,369,322,767,1625,141609,T
596989504,1803,280,54090,369,491,1918,2132,141372,F
615284169,335,88,30485,369,426,1151,2129,141447,T
343193460,463,70,26854,369,3080,1535,2114,141091,F
350553333,1719,370,67041,369,281,1918,1693,141803,T
426608840,517,80,43428,369,411,1535,2138,141308,F
671342941,1668,392,163464,369,644,1918,2504,141461,T
700682880,434,63,21266,369,906,1918,1122,141012,F
306521230,728,147,53872,369,471,767,1717,140926,T
878250740,428,116,35952,369,1011,1535,2423,141035,F
844634651,1922,366,121086,369,361,1535,973,141594,T
897081483,371,98,26712,369,575,1918,1305,141792,F
850501839,816,144,24480,369,845,1535,2235,141115,T
534913880,269,121,24748,369,277,1535,1885,141625,F
660315671,646,102,62662,369,328,1151,2316,141269,T
229939402,544,68,16320,369,366,1535,2418,141297,F
948511529,1352,204,132496,369,545,1918,938,141021,T
643379020,315,59,22995,369,507,1535,2351,141581,F
727825319,1354,198,90718,369,1066,1918,1187,141216,T
103548658,449,64,27389,369,468,1535,2109,141157,F
480899074,644,111,40572,369,765,1535,2458,141058,T
508602681,391,113,37536,369,378,1535,2295,141222,F
621463061,1504,190,99264,369,362,1151,2008,141459,T
918206454,484,95,29040,369,397,1535,1501,141679,F
810674009,622,99,44784,369,10664,1918,1530,141044,T
306496799,548,69,36716,369,287,1535,2400,141335,F
603143582,555,82,23865,369,314,1535,1821,140916,F
861758441,1328,174,42496,369,454,1535,2169,141813,T
