userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
318223308,1490,196,368030,96,812,1980,2094,47128,F
574825736,475,68,114475,96,2436,1980,1979,47959,F
075948716,892,106,211404,96,661,990,2049,47591,T
384175290,408,24,77928,96,1028,1980,1456,47090,F
054989158,364,43,32396,96,3086,990,1701,47501,T
230752704,519,74,36330,96,1780,495,1855,47878,T
285048953,385,30,93940,96,1218,1980,1282,47887,F
821297075,1000,102,246000,96,857,1980,2557,47878,T
812795533,1556,169,146264,96,477,990,2573,47493,T
707490637,494,93,93860,96,3560,990,1668,47629,T
226103790,310,47,76570,96,1653,495,1733,47039,T
746729154,1408,166,102784,96,890,990,2170,47256,T
118875873,900,131,214200,96,857,495,2149,47620,T
102373700,1567,147,128494,96,544,495,1938,47120,T
750591211,306,82,45900,96,3086,495,1042,47140,T
387954023,1401,200,56040,96,2723,990,2673,47467,T
835572623,439,29,94385,96,462,1980,2268,47913,F
720242403,957,128,200970,96,617,990,1486,47808,T
357027267,565,60,140685,96,3560,495,1203,47993,T
069272289,420,82,23940,96,1251,2475,1601,47365,F
718338201,496,30,75888,96,690,1485,1691,47170,T
065257210,360,72,64440,96,2571,2475,1199,47944,F
470902432,1572,170,143052,96,4629,1485,2097,47234,T
226941992,1537,172,150626,96,497,495,2310,47876,T
197952178,1398,160,174750,96,1653,495,1609,47740,T
472776850,1548,161,312696,96,890,1980,1305,47591,F
669112788,1600,154,204800,96,1851,495,2163,47240,T
894834064,1568,193,183456,96,2571,2475,2349,47858,F
905492892,483,56,52164,96,625,495,1050,47164,T
593761780,310,71,72230,96,670,990,2396,47325,T
312519803,554,48,26592,96,585,495,1493,47037,T
346843516,543,91,49956,96,593,1485,2478,47794,T
789604241,438,40,22338,96,964,990,1140,47475,T
352226649,571,27,107919,96,1218,2475,1607,47221,F
659576066,1474,177,33902,96,7715,2475,1777,47671,F
326071391,1623,142,374913,96,1780,990,1358,47096,T
681504340,333,56,49284,96,1653,1485,1597,47966,T
932008130,1369,188,43808,96,5143,1485,1866,47011,T
439655705,1570,187,69080,96,812,1980,2880,47530,F
206729083,425,41,54400,96,964,495,2123,47016,T
967011093,358,58,8592,96,9258,2475,2114,47721,F
530488578,358,78,30430,96,497,2475,1695,47125,F
056215332,1403,143,249734,96,712,1980,1529,47461,F
507648400,803,105,189508,96,557,2475,1313,47822,T
778019562,1626,145,131706,96,593,495,1477,47150,T
783810799,1034,82,199562,96,1218,1980,2212,47082,T
365443617,1652,164,123900,96,601,495,1713,47479,T
484676693,447,86,72414,96,798,1980,1311,47256,F
860146558,1600,141,288000,96,1129,495,1948,47148,T
984369257,342,57,72846,96,520,495,1546,47653,T
605589468,1490,210,306940,96,812,495,2318,47982,T
327634168,1492,200,195452,96,812,495,1303,47620,T
017972741,504,33,43344,96,609,990,1545,47499,T
678365106,426,84,29394,96,1076,1485,2220,47321,T
686286234,954,125,169812,96,826,1980,1681,47033,T
744167579,1554,185,259518,96,964,495,1239,47132,T
242252791,576,46,78912,96,2723,1980,1550,47458,F
993144417,504,55,24192,96,3306,495,2007,47824,T
502814212,436,49,14824,96,514,2475,1836,47264,F
500910837,1620,166,243000,96,557,1485,1320,47491,T
380752756,773,97,184747,96,1653,1485,1541,47648,T
570134752,452,26,60568,96,1102,1485,1298,47077,T
142337686,828,136,185472,96,462,2475,1128,47894,T
771476201,1380,170,102120,96,746,2475,2746,47871,F
560140247,1604,201,356088,96,1361,1980,1027,47945,F
948285274,1483,146,197239,96,3086,990,2830,47503,T
