userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
121228814,308,44,18480,96,105,1980,2917,47288,F
245130685,343,83,25382,96,152,1485,2445,47210,T
628602627,360,59,25200,96,2571,1980,1499,47048,F
143209995,538,39,24210,96,617,1485,2249,47672,T
374640825,1616,146,143824,96,440,1485,2067,47985,T
714610115,546,25,36582,96,94,1980,1647,47478,F
182116438,1503,168,145791,96,133,1485,2262,47863,T
447399581,1560,166,120120,96,213,1980,1182,47951,F
442068381,503,64,37725,96,140,990,1582,47368,T
337377234,509,80,17815,96,125,2475,1845,47995,F
873112777,1508,149,132704,96,273,1485,1878,47191,T
751878373,1593,161,38232,96,5786,1980,2695,47437,F
180103061,529,59,49726,96,193,1485,1908,47462,T
424428187,353,78,24357,96,1028,1980,1342,47260,F
212217962,524,40,49780,96,115,495,1003,47414,T
902588882,1586,170,50752,96,218,2475,2372,47748,F
170626284,1592,173,143280,96,119,495,1418,47938,T
718707876,577,42,50776,96,169,1980,2081,47212,F
234053178,382,30,32088,96,406,495,1500,47038,T
283333279,586,25,19338,96,136,1980,1108,47418,F
716978594,1421,201,136416,96,321,990,1888,47288,T
004875608,1621,170,72945,96,153,1980,2243,47738,F
704364479,582,33,49470,96,94,2475,1229,47307,F
895228309,1577,149,42579,96,841,1485,1865,47306,T
906755700,1489,162,83384,96,160,1485,1463,47942,T
000557241,553,46,34286,96,304,2475,2140,47411,F
959892519,1640,150,49200,96,105,1980,1111,47735,F
270842728,1444,178,89528,96,108,495,2809,47868,T
622780337,1579,158,118425,96,1493,1980,2882,47324,F
060279236,1582,172,56952,96,108,1485,2156,47389,T
169899804,1488,147,135408,96,254,990,1869,47134,T
983957035,1374,199,67326,96,538,2475,1678,47855,F
389517019,1478,192,91636,96,188,1980,1739,47077,F
827517261,1605,207,41730,96,2104,1485,1994,47777,T
226853706,1497,168,142215,96,323,2475,1231,47246,F
838960434,1388,160,108264,96,180,495,1445,47201,T
434688742,1454,168,82878,96,140,1980,943,47423,F
491158036,1542,187,127986,96,361,495,1964,47764,T
767289864,543,49,14661,96,126,990,1694,47957,T
582075946,1456,155,112112,96,154,1980,1554,47156,F
230917936,1369,171,65712,96,174,1485,2325,47739,T
956603822,324,49,8100,96,312,1980,2582,47836,F
919209840,1367,151,117562,96,578,495,2873,47772,T
642558482,1622,141,63258,96,2314,1980,1728,47947,F
012123962,298,41,8344,96,1129,2475,2616,47057,F
673062396,1493,187,92566,96,103,1485,1518,47566,T
140810095,1616,142,142208,96,146,1485,1766,47181,T
047672792,1461,153,52596,96,120,2475,1352,47930,F
856974008,1403,186,123464,96,3306,2475,2037,47926,F
982243101,1447,173,92608,96,440,495,2972,48019,T
983647010,370,86,22570,96,185,990,1088,47521,T
779329572,1389,201,100008,96,114,1980,2185,48004,F
981423392,427,55,8540,96,280,2475,1794,47118,F
070190992,1601,157,116873,96,158,990,1294,47145,T
479947459,460,44,22080,96,1322,2475,2095,47797,F
028335683,1446,197,135924,96,420,495,2250,47989,T
276707261,1522,199,60880,96,99,2475,2457,47410,F
973575885,462,66,31878,96,406,495,2283,47159,T
533797099,458,74,30228,96,482,1980,1131,47965,F
900047385,1384,147,99648,96,188,495,956,47568,T
163475684,395,73,29230,96,168,990,2939,47493,T
311130187,1634,141,76798,96,176,1980,2046,47444,F
916165461,542,51,44986,96,99,495,1654,47101,T
790699889,472,91,36344,96,337,2475,1075,47639,F
222032483,1472,163,50048,96,477,990,1765,47282,T
106098926,460,35,25760,96,417,1980,2535,47896,F
601542313,1621,148,147511,96,127,990,1945,47975,T
941869545,1401,161,95268,96,238,2475,1461,47149,F
777356244,378,64,16632,96,1402,1980,2396,47512,F
937390624,1391,181,82069,96,116,495,2359,47709,T
641136205,1384,185,40136,96,119,2475,2968,47136,F
294509310,1577,146,39425,96,544,495,1693,47974,T
101925491,562,70,46646,96,680,2475,1986,47960,F
734634628,1614,192,148488,96,96,495,2438,47502,T
003533503,459,60,26163,96,105,2475,1787,47977,F
644252364,1527,191,62607,96,99,990,1295,47202,T
183420393,1515,166,48480,96,330,990,2120,47985,T
848230815,1428,143,39984,96,154,2475,1609,47452,F
352198069,306,81,21726,96,135,1980,2228,47453,F
878381292,557,46,25065,96,210,495,1896,47808,T
486227769,1428,174,131376,96,1218,990,1163,47978,T
480445208,514,47,45746,96,108,2475,2761,47898,F
283169709,458,62,17404,96,472,1980,2376,47997,F
533242408,306,31,6732,96,142,1485,1993,47685,T
135937110,358,37,23986,96,984,1980,1958,47843,F
549570021,1451,206,134943,96,578,1485,2402,47042,T
289559421,435,50,11745,96,147,495,1064,47947,T
661581116,1467,179,52812,96,356,2475,1461,47767,F
841232980,400,33,21600,96,544,495,1830,47441,T
156718095,1603,191,36869,96,248,1980,2589,47291,F
412308497,1651,200,57785,96,857,1980,1686,47455,F
511754401,558,46,50778,96,164,495,2049,47382,T
798036676,494,50,39026,96,96,990,2017,47505,T
045384286,588,29,57624,96,280,2475,2239,47727,F
034495182,380,83,24320,96,111,1485,1517,47142,T
201443901,340,92,15300,96,373,2475,1098,47776,F
424766741,1599,202,87945,96,142,990,2046,47526,T
652985572,354,76,24072,96,147,1980,2855,47798,F
116815743,1571,141,153958,96,110,1485,1465,47581,T
613082985,1533,202,72051,96,135,2475,1681,47247,F
