userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
401198371,1688,321,302152,313,1688,747,2289,117866,T
193140849,213,28,22791,313,3703,1120,1006,116962,T
012943321,983,111,230022,313,1261,747,2075,117553,T
034446108,1696,298,201824,313,4252,1494,1434,117132,T
925126978,1293,289,157746,313,1290,1120,1454,117757,T
925872929,1685,325,188720,313,1148,1867,748,117280,T
056031496,277,49,26315,313,1290,1867,1918,116907,T
011306062,1761,328,84528,313,1766,747,2019,117028,T
170963950,1384,300,192376,313,16402,1867,1361,117561,F
512910053,231,56,40425,313,5740,747,2323,117505,T
496677866,889,88,200914,313,2087,747,2226,117099,T
483613222,191,54,12606,313,1417,747,2409,117067,T
456918720,1934,269,278496,313,4100,373,2037,116936,T
168718179,323,51,80750,313,1664,1120,1514,116890,T
469143607,269,76,45730,313,1913,373,1766,117462,T
524734105,1523,281,321353,313,1319,1494,1168,116968,F
743718533,261,30,43326,313,2087,1494,1030,117702,T
415618032,950,72,122550,313,8832,1494,1367,117619,T
057869083,211,78,8440,313,1196,1494,786,117781,T
727208176,1873,275,252855,313,1530,1120,2441,117644,T
615502331,1430,311,110110,313,1304,1120,1727,117837,T
425063046,241,58,11568,313,6378,747,1576,117247,T
938277664,878,111,173844,313,1913,373,2143,117465,T
202249237,267,13,27501,313,1794,373,1138,117149,T
165623207,226,43,23730,313,1946,373,1343,117349,T
553917961,1782,300,155034,313,2392,747,706,117189,T
231599429,1625,304,264875,313,5467,1867,2071,116900,T
257691255,1614,293,298590,313,3479,373,1703,117455,T
210843251,288,23,13248,313,7654,747,1468,117775,T
915636134,1405,266,98350,313,1913,747,1513,117058,T
653348695,287,71,40180,313,2251,373,1426,117651,T
159592958,1770,248,290280,313,1713,373,1519,117377,T
094091219,1710,309,54720,313,1171,747,808,116917,T
403937622,1919,248,228361,313,2166,747,1441,117590,T
786527043,223,52,24976,313,1171,747,1407,117060,T
840399570,1873,265,37460,313,1290,1120,1303,117817,T
095780395,239,80,23900,313,4784,747,864,117750,T
001898173,1383,277,45639,313,1822,1867,1723,117766,F
855310502,1857,274,163416,313,2050,1494,1651,117516,T
578509252,784,84,173264,313,3280,1494,1801,117840,T
688472084,1771,278,387849,313,1491,1120,1677,117499,T
611301317,2059,211,413859,313,22963,1867,2218,117121,F
650429645,1783,267,253186,313,3703,747,2396,117776,T
549461997,745,109,99085,313,3827,1867,1687,117625,T
543805852,747,108,113544,313,1572,1120,2470,117864,T
063041919,2143,305,488604,313,12757,1494,1209,117063,T
669691980,1416,286,56640,313,1882,747,765,117142,T
163162684,1466,298,301996,313,9568,1120,1980,117763,T
295595705,1709,275,420414,313,1261,747,1163,117753,T
810527618,1936,267,352352,313,2442,1120,1951,117342,T
826929240,343,38,9604,313,1261,1120,1562,117840,T
303308723,292,44,62780,313,2087,1120,1927,117698,T
237237270,752,136,38352,313,1234,1867,2043,117357,T
003037761,1959,281,209613,313,4100,373,1663,117499,T
611840262,838,137,91342,313,22963,1120,1610,116985,T
669827581,1956,301,271884,313,11481,373,2446,117813,T
035833070,218,24,9810,313,2496,1867,1131,117349,T
539138777,431,42,18964,313,1594,1120,1473,117791,T
974018420,1652,294,411348,313,1183,373,1075,117734,T
629029594,987,132,85869,313,1366,373,1360,116909,T
465056207,1838,304,115794,313,3703,747,1806,117595,T
549050204,208,37,23296,313,1453,747,1188,117757,T
369434618,1931,252,83033,313,4784,747,1741,117255,T
266204977,1417,322,75101,313,1472,1120,1177,117133,T
431767924,1875,243,433125,313,3021,1867,1828,117746,F
438301972,328,16,71504,313,5218,747,2405,116891,T
350606664,417,47,30858,313,4100,1867,777,117671,T
454247131,1335,328,125490,313,6753,373,2352,117536,T
617543517,1009,138,135206,313,1851,1120,1531,117151,T
378522987,234,27,43056,313,3703,1494,1634,117349,T
064142797,295,26,55460,313,1979,1120,1741,117198,T
016373839,224,46,42112,313,9568,1120,1687,117019,T
559575857,955,104,224425,313,4416,1120,1434,117324,T
959572843,796,127,186264,313,1196,373,1203,117831,T
987873937,1536,311,376320,313,1435,373,1520,117274,T
898475670,1738,255,380622,313,1739,747,811,117284,T
025602975,1686,328,396210,313,1688,1120,1299,116981,T
286869933,1382,325,19348,313,1304,747,2080,117698,T
920697072,1613,318,180656,313,1794,1867,1990,117861,T
275181577,1975,279,79000,313,2251,747,2355,117125,T
921815864,1911,281,116571,313,1435,747,2068,117634,T
038361159,1793,293,338877,313,2609,1867,1946,117453,T
047555799,933,139,139950,313,1319,373,1486,117454,T
969918027,740,138,104340,313,1822,373,1797,117784,T
418549301,1749,329,316569,313,1688,373,1523,117856,T
063306596,180,65,39420,313,2496,1120,1022,117139,T
610899687,1434,321,325518,313,2944,747,1655,116950,T
425907222,1000,129,209000,313,1739,747,2003,117266,T
347084398,940,99,53580,313,7654,1494,1072,117253,T
685799437,234,59,52884,313,2166,747,1455,117168,T
983025045,1636,275,96524,313,1979,1494,1527,117647,T
966010737,1394,299,111520,313,2251,1494,1623,117843,F
659686870,1907,276,70559,313,1159,747,1648,117701,T
237634045,1676,296,194416,313,4100,1494,1023,117836,T
301353125,1477,326,132930,313,2014,1494,1459,116943,F
943084533,1636,326,202864,313,2050,747,1113,117157,T
141597595,1707,238,170700,313,11481,1120,1504,117506,T
125748401,1441,186,331430,313,22963,1120,1906,117578,T
685048806,411,16,55074,313,1946,373,1109,117468,T
016706625,1726,321,324488,313,1472,1494,1304,117364,T
256716838,402,35,31758,313,2343,747,1216,117818,T
666983012,924,82,19404,313,7176,747,1954,117802,T
319557004,1721,242,170379,313,1640,1120,1864,117507,T
136199689,394,28,55554,313,2944,1494,1946,117287,T
201155179,835,123,165330,313,1640,747,1304,117665,T
378455853,1857,273,157845,313,1664,747,2239,117159,T
150096534,1347,295,60615,313,19136,1867,1231,117615,F
581609253,164,42,36572,313,4416,1867,1317,117063,T
446963440,861,134,136038,313,1290,1494,1418,117470,T
578642475,1632,299,172992,313,1882,1867,1046,117445,T
969529658,1944,224,342144,313,9568,1494,1596,117130,F
336341413,1824,304,207936,313,4592,1867,1238,117772,F
