userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
195270231,1771,318,53130,313,1073,747,1812,116859,T
363683046,1901,268,121664,313,775,1867,1021,117466,F
916068891,1443,283,95238,313,313,747,1439,117453,T
656912302,1500,309,150000,313,466,1494,2099,117816,F
811921409,1335,282,108135,313,14352,1867,2081,117587,F
615961667,1007,90,39273,313,552,1494,1942,117808,T
687932544,919,93,60654,313,299,1120,1829,117084,T
222748121,1420,265,29820,313,375,1494,2378,117165,F
760848523,1668,285,108420,313,241,1120,1085,117666,T
599664637,1391,272,129363,313,832,1867,1802,117677,F
421894959,262,58,7336,313,249,1120,1265,117714,T
977273922,1354,274,44682,313,610,1494,1465,117695,F
563876286,320,17,17600,313,1261,1494,2446,117673,T
165798213,1318,302,76444,313,1739,1867,1101,116904,F
757705391,1309,295,69377,313,411,1494,1679,117034,F
374927572,182,67,13286,313,376,373,2100,117432,T
373879511,1822,287,136650,313,1261,747,1466,117293,T
293546225,1837,249,102872,313,326,1867,1534,117617,F
328991827,773,80,51018,313,249,747,1135,117641,T
817103574,1949,267,113042,313,1043,1867,1889,117376,F
634478576,1814,302,161446,313,256,1867,2058,117608,F
010738405,1630,319,66830,313,1713,747,1292,117532,T
271965941,1979,263,71244,313,3959,747,1521,117300,T
542049546,1837,241,82665,313,329,1867,1624,117108,F
645308923,184,64,9384,313,315,747,914,117279,T
197647942,1806,258,115584,313,948,1867,1697,117182,F
658954622,1338,325,133800,313,5467,1120,1761,117551,T
960669658,1781,270,89050,313,294,1867,1287,117680,F
310048237,1990,283,105470,313,607,1120,1858,117861,T
760413101,1367,281,42377,313,245,1867,1234,116966,F
492559738,792,129,34848,313,287,1120,1979,117227,T
203512236,1338,282,28098,313,262,1867,1460,117192,F
641937231,1324,289,35748,313,255,373,1728,117370,T
153488980,1760,251,132000,313,517,1867,2290,116944,F
471771218,808,84,74336,313,239,747,1292,117363,T
365861880,1420,306,78100,313,306,1867,1933,117684,F
017139358,407,78,9361,313,308,373,1419,116945,T
546802071,1343,311,55063,313,231,1867,1670,117172,F
497183667,1958,248,107690,313,453,747,1538,117100,T
320736413,1928,288,175448,313,343,1867,1807,117497,F
581432577,1876,331,56280,313,329,1494,1462,117595,T
486478570,1371,293,28791,313,348,1494,1904,117235,F
908324000,193,80,11966,313,436,373,1818,117637,T
755568654,1294,300,97050,313,311,1494,1518,117534,F
542693836,1369,270,67081,313,663,747,1757,116932,T
752934994,1934,276,127644,313,2296,1867,2179,116881,F
162815043,755,117,33220,313,385,747,2466,117032,T
515475839,1868,265,57908,313,1350,1867,1136,117757,F
300636008,372,17,25296,313,1366,747,2178,117610,T
104861166,1440,295,125280,313,989,1494,2234,117513,F
295718705,897,135,83421,313,363,373,2472,116981,T
948470819,1399,307,62955,313,613,1867,1478,116930,F
199721348,1443,267,126984,313,237,1867,1625,117723,F
204630740,1968,299,149568,313,4784,1120,2459,117589,T
830047823,909,74,79992,313,3479,373,832,117468,T
541793262,1532,326,131752,313,755,1867,1055,117107,F
087082909,1742,253,137618,313,393,1120,1072,117749,T
238003974,1512,300,149688,313,850,1494,1273,117308,F
291474162,419,39,21369,313,2251,747,2363,116963,T
176323980,1375,265,70125,313,246,1867,1379,117215,F
735196320,392,55,7840,313,3021,1867,1559,117384,T
779482576,1869,284,183162,313,260,1867,1451,117589,F
877223324,1401,318,29421,313,731,373,2475,117248,T
870332549,1340,313,49580,313,334,1867,1154,117416,F
393997089,940,120,68620,313,319,747,952,117460,T
876360183,1343,323,127585,313,416,1867,830,116929,F
901717736,873,92,18333,313,355,1120,1631,117628,T
302334386,1340,273,111220,313,1822,1494,1581,116974,F
024736764,1671,321,98589,313,687,373,1184,117397,T
874690818,1310,328,58950,313,4992,1494,1335,117098,F
195789682,1469,277,88140,313,250,747,902,117242,T
601018612,1876,237,91924,313,468,1867,1854,117690,F
997411625,242,22,16940,313,869,373,2107,117624,T
987040731,1745,259,120405,313,344,1867,1192,117673,F
981545707,802,100,37694,313,832,1120,1389,117815,T
187521560,1708,241,133224,313,1572,1867,1756,117411,F
202340591,742,90,20776,313,422,1494,1144,117492,T
142475773,1425,274,39900,313,320,1867,1980,117447,F
093186095,1748,321,166060,313,350,1867,2277,116999,T
643915678,1836,242,121176,313,470,1867,2284,117421,F
576725044,1353,295,77121,313,430,373,1296,117131,T
409229150,1539,264,146205,313,448,1867,1964,117865,F
555408386,1399,298,103526,313,1073,1867,1955,117417,F
726822656,1718,328,120260,313,883,1494,1580,117238,T
242790114,1002,136,26052,313,253,1867,1793,116864,T
359578330,1374,301,74196,313,838,1867,1727,117640,F
917450126,1331,282,118459,313,313,1120,1052,117172,T
278946055,1308,317,30084,313,571,1867,1847,117581,F
463246965,1798,252,122264,313,256,1120,1772,117074,T
540277463,1913,306,175996,313,326,1867,2231,117772,F
850541740,1861,293,147019,313,244,1867,1846,117803,F
321942911,311,50,17727,313,630,1494,2190,117330,T
263956027,724,112,66608,313,497,1867,2406,117719,T
008023201,1993,277,133531,313,249,1867,1448,117786,F
710928778,1959,301,182187,313,541,747,1997,117220,T
938478621,1461,284,119802,313,591,1867,1721,117285,F
472899627,397,64,21438,313,802,1494,1085,117031,T
509162174,1746,263,123966,313,266,1867,1200,116996,F
635405253,1410,295,39480,313,1640,1120,1318,116987,T
373187528,1771,267,150535,313,248,1867,1145,117197,F
